MATCH_SEQ_NO,MATCH_DE,BASE_YEAR,BASE_MT,BASE_DAY,GRP_NM,LEA_NM,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO,COLCT_DE,UPDT_DE
1,20230101,2023,1,1,KBL,정규시즌,삼성,SK,잠실실내체육관,3000.0,20250721,20250721
2,20230101,2023,1,1,KBL,정규시즌,LG,현대모비스,창원체육관,2954.0,20250721,20250721
3,20230101,2023,1,1,KBL,정규시즌,캐롯,KT,고양체육관,2513.0,20250721,20250721
4,20230102,2023,1,2,KBL,정규시즌,DB,KGC,원주종합체육관,1203.0,20250721,20250721
5,20230103,2023,1,3,KBL,정규시즌,KCC,캐롯,군산월명체육관,2315.0,20250721,20250721
6,20230104,2023,1,4,KBL,정규시즌,SK,DB,잠실학생체육관,2718.0,20250721,20250721
7,20230105,2023,1,5,KBL,정규시즌,삼성,LG,잠실실내체육관,1024.0,20250721,20250721
8,20230105,2023,1,5,KBL,정규시즌,캐롯,현대모비스,고양체육관,1135.0,20250721,20250721
9,20230106,2023,1,6,KBL,정규시즌,KCC,SK,군산월명체육관,2567.0,20250721,20250721
10,20230106,2023,1,6,KBL,정규시즌,KGC,KT,안양실내체육관,1516.0,20250721,20250721
11,20230107,2023,1,7,KBL,정규시즌,LG,캐롯,창원체육관,2417.0,20250721,20250721
12,20230107,2023,1,7,KBL,정규시즌,한국가스공사,삼성,대구체육관,1879.0,20250721,20250721
13,20230107,2023,1,7,KBL,정규시즌,현대모비스,DB,울산동천체육관,1236.0,20250721,20250721
14,20230108,2023,1,8,KBL,정규시즌,삼성,KCC,잠실실내체육관,4048.0,20250721,20250721
15,20230108,2023,1,8,KBL,정규시즌,KGC,SK,안양실내체육관,3082.0,20250721,20250721
16,20230108,2023,1,8,KBL,정규시즌,현대모비스,KT,울산동천체육관,1722.0,20250721,20250721
17,20230109,2023,1,9,KBL,정규시즌,캐롯,한국가스공사,고양체육관,1267.0,20250721,20250721
18,20230110,2023,1,10,KBL,정규시즌,SK,LG,잠실학생체육관,3304.0,20250721,20250721
19,20230110,2023,1,10,KBL,정규시즌,KT,KCC,수원 KT 아레나,1607.0,20250721,20250721
20,20230111,2023,1,11,KBL,정규시즌,현대모비스,KGC,울산동천체육관,1089.0,20250721,20250721
21,20230117,2023,1,17,KBL,정규시즌,DB,LG,원주종합체육관,1719.0,20250721,20250721
22,20230119,2023,1,19,KBL,정규시즌,삼성,KT,잠실실내체육관,934.0,20250721,20250721
23,20230119,2023,1,19,KBL,정규시즌,캐롯,DB,고양체육관,1495.0,20250721,20250721
24,20230120,2023,1,20,KBL,정규시즌,LG,한국가스공사,창원체육관,1893.0,20250721,20250721
25,20230120,2023,1,20,KBL,정규시즌,현대모비스,KCC,울산동천체육관,1662.0,20250721,20250721
26,20230121,2023,1,21,KBL,정규시즌,삼성,DB,잠실실내체육관,1351.0,20250721,20250721
27,20230121,2023,1,21,KBL,정규시즌,캐롯,KGC,고양체육관,3004.0,20250721,20250721
28,20230121,2023,1,21,KBL,정규시즌,KT,SK,수원 KT 아레나,1317.0,20250721,20250721
29,20230122,2023,1,22,KBL,정규시즌,LG,KCC,창원체육관,2461.0,20250721,20250721
30,20230122,2023,1,22,KBL,정규시즌,KGC,삼성,안양실내체육관,2294.0,20250721,20250721
31,20230122,2023,1,22,KBL,정규시즌,한국가스공사,현대모비스,대구체육관,1534.0,20250721,20250721
32,20230123,2023,1,23,KBL,정규시즌,DB,KT,원주종합체육관,2083.0,20250721,20250721
33,20230123,2023,1,23,KBL,정규시즌,SK,캐롯,잠실학생체육관,4837.0,20250721,20250721
34,20230124,2023,1,24,KBL,정규시즌,KCC,한국가스공사,전주실내체육관,3803.0,20250721,20250721
35,20230124,2023,1,24,KBL,정규시즌,현대모비스,LG,울산동천체육관,2521.0,20250721,20250721
36,20230126,2023,1,26,KBL,정규시즌,DB,한국가스공사,원주종합체육관,1316.0,20250721,20250721
37,20230127,2023,1,27,KBL,정규시즌,삼성,현대모비스,잠실실내체육관,1107.0,20250721,20250721
38,20230127,2023,1,27,KBL,정규시즌,KT,캐롯,수원 KT 아레나,1132.0,20250721,20250721
