"BASE_DE","BASE_YEAR","BASE_MT","BASE_DAY","CTPRVN_CD","CTPRVN_NM","KLEA_VIEWNG_NMPR_CO","KBO_VIEWNG_NMPR_CO","KBL_VIEWNG_NMPR_CO","WKBL_VIEWNG_NMPR_CO","KOVO_VIEWNG_NMPR_CO","SPORTS_VIEWNG_NMPR_CO","KLEA_MATCH_CO","KBO_MATCH_CO","KBL_MATCH_CO","WKBL_MATCH_CO","KOVO_MATCH_CO","SPORTS_MATCH_CO","COLCT_DE","UPDT_DE"
"20230101","2023","01","01","11",서울,0.00000,0.00000,3000.00000,0.00000,0.00000,3000.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230101","2023","01","01","41",경기,0.00000,0.00000,2513.00000,0.00000,0.00000,2513.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230101","2023","01","01","48",경남,0.00000,0.00000,2954.00000,0.00000,0.00000,2954.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230102","2023","01","02","42",강원,0.00000,0.00000,1203.00000,0.00000,0.00000,1203.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230103","2023","01","03","45",전북,0.00000,0.00000,2315.00000,0.00000,0.00000,2315.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230104","2023","01","04","11",서울,0.00000,0.00000,2718.00000,0.00000,0.00000,2718.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230105","2023","01","05","11",서울,0.00000,0.00000,1024.00000,0.00000,0.00000,1024.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230105","2023","01","05","41",경기,0.00000,0.00000,1135.00000,0.00000,0.00000,1135.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230106","2023","01","06","41",경기,0.00000,0.00000,1516.00000,0.00000,0.00000,1516.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230106","2023","01","06","45",전북,0.00000,0.00000,2567.00000,0.00000,0.00000,2567.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230107","2023","01","07","27",대구,0.00000,0.00000,1879.00000,0.00000,0.00000,1879.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230107","2023","01","07","31",울산,0.00000,0.00000,1236.00000,0.00000,0.00000,1236.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230107","2023","01","07","48",경남,0.00000,0.00000,2417.00000,0.00000,0.00000,2417.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230108","2023","01","08","11",서울,0.00000,0.00000,4048.00000,0.00000,0.00000,4048.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230108","2023","01","08","31",울산,0.00000,0.00000,1722.00000,0.00000,0.00000,1722.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230108","2023","01","08","41",경기,0.00000,0.00000,3082.00000,0.00000,0.00000,3082.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230109","2023","01","09","41",경기,0.00000,0.00000,1267.00000,0.00000,0.00000,1267.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230110","2023","01","10","11",서울,0.00000,0.00000,3304.00000,0.00000,0.00000,3304.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230110","2023","01","10","41",경기,0.00000,0.00000,1607.00000,0.00000,0.00000,1607.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230111","2023","01","11","31",울산,0.00000,0.00000,1089.00000,0.00000,0.00000,1089.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230117","2023","01","17","42",강원,0.00000,0.00000,1719.00000,0.00000,0.00000,1719.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230119","2023","01","19","11",서울,0.00000,0.00000,934.00000,0.00000,0.00000,934.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230119","2023","01","19","41",경기,0.00000,0.00000,1495.00000,0.00000,0.00000,1495.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230120","2023","01","20","31",울산,0.00000,0.00000,1662.00000,0.00000,0.00000,1662.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230120","2023","01","20","48",경남,0.00000,0.00000,1893.00000,0.00000,0.00000,1893.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230121","2023","01","21","11",서울,0.00000,0.00000,1351.00000,0.00000,0.00000,1351.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230121","2023","01","21","41",경기,0.00000,0.00000,4321.00000,0.00000,0.00000,4321.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,"20250721","20250721"
"20230122","2023","01","22","27",대구,0.00000,0.00000,1534.00000,0.00000,0.00000,1534.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230122","2023","01","22","41",경기,0.00000,0.00000,2294.00000,0.00000,0.00000,2294.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230122","2023","01","22","48",경남,0.00000,0.00000,2461.00000,0.00000,0.00000,2461.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230123","2023","01","23","11",서울,0.00000,0.00000,4837.00000,0.00000,0.00000,4837.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230123","2023","01","23","42",강원,0.00000,0.00000,2083.00000,0.00000,0.00000,2083.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230124","2023","01","24","31",울산,0.00000,0.00000,2521.00000,0.00000,0.00000,2521.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230124","2023","01","24","45",전북,0.00000,0.00000,3803.00000,0.00000,0.00000,3803.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230126","2023","01","26","42",강원,0.00000,0.00000,1316.00000,0.00000,0.00000,1316.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230127","2023","01","27","11",서울,0.00000,0.00000,1107.00000,0.00000,0.00000,1107.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230127","2023","01","27","41",경기,0.00000,0.00000,1132.00000,0.00000,0.00000,1132.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230128","2023","01","28","11",서울,0.00000,0.00000,4519.00000,0.00000,0.00000,4519.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230128","2023","01","28","42",강원,0.00000,0.00000,2547.00000,0.00000,0.00000,2547.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230128","2023","01","28","48",경남,0.00000,0.00000,3394.00000,0.00000,0.00000,3394.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230129","2023","01","29","31",울산,0.00000,0.00000,2406.00000,0.00000,0.00000,2406.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230129","2023","01","29","41",경기,0.00000,0.00000,5039.00000,0.00000,0.00000,5039.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,"20250721","20250721"
"20230130","2023","01","30","41",경기,0.00000,0.00000,1350.00000,0.00000,0.00000,1350.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230131","2023","01","31","41",경기,0.00000,0.00000,730.00000,0.00000,0.00000,730.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230131","2023","01","31","45",전북,0.00000,0.00000,3463.00000,0.00000,0.00000,3463.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230201","2023","02","01","11",서울,0.00000,0.00000,2619.00000,0.00000,0.00000,2619.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230202","2023","02","02","11",서울,0.00000,0.00000,767.00000,0.00000,0.00000,767.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230202","2023","02","02","41",경기,0.00000,0.00000,2025.00000,0.00000,0.00000,2025.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230203","2023","02","03","48",경남,0.00000,0.00000,2015.00000,0.00000,0.00000,2015.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230204","2023","02","04","27",대구,0.00000,0.00000,1927.00000,0.00000,0.00000,1927.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230204","2023","02","04","31",울산,0.00000,0.00000,2174.00000,0.00000,0.00000,2174.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230204","2023","02","04","41",경기,0.00000,0.00000,3044.00000,0.00000,0.00000,3044.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230205","2023","02","05","11",서울,0.00000,0.00000,5008.00000,0.00000,0.00000,5008.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230205","2023","02","05","31",울산,0.00000,0.00000,2116.00000,0.00000,0.00000,2116.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230205","2023","02","05","45",전북,0.00000,0.00000,4011.00000,0.00000,0.00000,4011.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230206","2023","02","06","41",경기,0.00000,0.00000,1305.00000,0.00000,0.00000,1305.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230207","2023","02","07","11",서울,0.00000,0.00000,2635.00000,0.00000,0.00000,2635.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230208","2023","02","08","27",대구,0.00000,0.00000,1045.00000,0.00000,0.00000,1045.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230209","2023","02","09","41",경기,0.00000,0.00000,1687.00000,0.00000,0.00000,1687.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230209","2023","02","09","45",전북,0.00000,0.00000,3379.00000,0.00000,0.00000,3379.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230210","2023","02","10","41",경기,0.00000,0.00000,2275.00000,0.00000,0.00000,2275.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230210","2023","02","10","48",경남,0.00000,0.00000,2299.00000,0.00000,0.00000,2299.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230211","2023","02","11","11",서울,0.00000,0.00000,4377.00000,0.00000,0.00000,4377.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230211","2023","02","11","41",경기,0.00000,0.00000,3394.00000,0.00000,0.00000,3394.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230212","2023","02","12","11",서울,0.00000,0.00000,4814.00000,0.00000,0.00000,4814.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230212","2023","02","12","27",대구,0.00000,0.00000,2445.00000,0.00000,0.00000,2445.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230212","2023","02","12","41",경기,0.00000,0.00000,3266.00000,0.00000,0.00000,3266.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230213","2023","02","13","11",서울,0.00000,0.00000,1118.00000,0.00000,0.00000,1118.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230214","2023","02","14","11",서울,0.00000,0.00000,2602.00000,0.00000,0.00000,2602.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230215","2023","02","15","41",경기,0.00000,0.00000,2580.00000,0.00000,0.00000,2580.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230216","2023","02","16","11",서울,0.00000,0.00000,1840.00000,0.00000,0.00000,1840.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230216","2023","02","16","27",대구,0.00000,0.00000,1218.00000,0.00000,0.00000,1218.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230217","2023","02","17","41",경기,0.00000,0.00000,2373.00000,0.00000,0.00000,2373.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230217","2023","02","17","48",경남,0.00000,0.00000,2630.00000,0.00000,0.00000,2630.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230218","2023","02","18","11",서울,0.00000,0.00000,2041.00000,0.00000,0.00000,2041.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230218","2023","02","18","31",울산,0.00000,0.00000,2486.00000,0.00000,0.00000,2486.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230218","2023","02","18","42",강원,0.00000,0.00000,2202.00000,0.00000,0.00000,2202.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230219","2023","02","19","11",서울,0.00000,0.00000,5271.00000,0.00000,0.00000,5271.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230219","2023","02","19","27",대구,0.00000,0.00000,2313.00000,0.00000,0.00000,2313.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230219","2023","02","19","41",경기,0.00000,0.00000,3742.00000,0.00000,0.00000,3742.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230223","2023","02","23","45",전북,0.00000,0.00000,2714.00000,0.00000,0.00000,2714.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230225","2023","02","25","11",서울,22204.00000,0.00000,0.00000,0.00000,0.00000,22204.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230225","2023","02","25","31",울산,28039.00000,0.00000,0.00000,0.00000,0.00000,28039.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230225","2023","02","25","41",경기,10348.00000,0.00000,0.00000,0.00000,0.00000,10348.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230225","2023","02","25","42",강원,0.00000,0.00000,2155.00000,0.00000,0.00000,2155.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230226","2023","02","26","30",대전,18590.00000,0.00000,0.00000,0.00000,0.00000,18590.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230226","2023","02","26","41",경기,0.00000,0.00000,3856.00000,0.00000,0.00000,3856.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230226","2023","02","26","47",경북,14089.00000,0.00000,0.00000,0.00000,0.00000,14089.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230226","2023","02","26","50",제주,8362.00000,0.00000,0.00000,0.00000,0.00000,8362.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230301","2023","03","01","11",서울,4247.00000,0.00000,0.00000,0.00000,0.00000,4247.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230301","2023","03","01","27",대구,0.00000,0.00000,2035.00000,0.00000,0.00000,2035.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230301","2023","03","01","41",경기,2411.00000,0.00000,2410.00000,0.00000,0.00000,4821.00000,1.00000,0.00000,1.00000,0.00000,0.00000,2.00000,"20250721","20250721"
"20230301","2023","03","01","44",충남,7721.00000,0.00000,0.00000,0.00000,0.00000,7721.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,"20250721","20250721"
"20230301","2023","03","01","45",전북,0.00000,0.00000,3534.00000,0.00000,0.00000,3534.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230301","2023","03","01","46",전남,4890.00000,0.00000,0.00000,0.00000,0.00000,4890.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230301","2023","03","01","48",경남,3134.00000,0.00000,0.00000,0.00000,0.00000,3134.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230302","2023","03","02","31",울산,0.00000,0.00000,1109.00000,0.00000,0.00000,1109.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230304","2023","03","04","11",서울,0.00000,0.00000,2481.00000,0.00000,0.00000,2481.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230304","2023","03","04","27",대구,10851.00000,0.00000,0.00000,0.00000,0.00000,10851.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230304","2023","03","04","28",인천,10011.00000,0.00000,0.00000,0.00000,0.00000,10011.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230304","2023","03","04","41",경기,14362.00000,0.00000,3128.00000,0.00000,0.00000,17490.00000,3.00000,0.00000,1.00000,0.00000,0.00000,4.00000,"20250721","20250721"
"20230304","2023","03","04","42",강원,0.00000,0.00000,1508.00000,0.00000,0.00000,1508.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230304","2023","03","04","43",충북,7035.00000,0.00000,0.00000,0.00000,0.00000,7035.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230304","2023","03","04","48",경남,0.00000,0.00000,3844.00000,0.00000,0.00000,3844.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230305","2023","03","05","29",광주,7357.00000,0.00000,0.00000,0.00000,0.00000,7357.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230305","2023","03","05","41",경기,7167.00000,0.00000,0.00000,0.00000,0.00000,7167.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,"20250721","20250721"
"20230305","2023","03","05","42",강원,6199.00000,0.00000,0.00000,0.00000,0.00000,6199.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230305","2023","03","05","45",전북,19660.00000,0.00000,0.00000,0.00000,0.00000,19660.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230305","2023","03","05","46",전남,1975.00000,0.00000,0.00000,0.00000,0.00000,1975.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230307","2023","03","07","42",강원,0.00000,0.00000,1212.00000,0.00000,0.00000,1212.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230308","2023","03","08","11",서울,0.00000,0.00000,2419.00000,0.00000,0.00000,2419.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
"20230309","2023","03","09","27",대구,0.00000,0.00000,1008.00000,0.00000,0.00000,1008.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,"20250721","20250721"
