BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
20230101,2023,1,1,11,서울,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230101,2023,1,1,41,경기,0.0,0.0,2513.0,0.0,0.0,2513.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230101,2023,1,1,48,경남,0.0,0.0,2954.0,0.0,0.0,2954.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230102,2023,1,2,42,강원,0.0,0.0,1203.0,0.0,0.0,1203.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230103,2023,1,3,45,전북,0.0,0.0,2315.0,0.0,0.0,2315.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230104,2023,1,4,11,서울,0.0,0.0,2718.0,0.0,0.0,2718.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230105,2023,1,5,11,서울,0.0,0.0,1024.0,0.0,0.0,1024.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230105,2023,1,5,41,경기,0.0,0.0,1135.0,0.0,0.0,1135.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230106,2023,1,6,41,경기,0.0,0.0,1516.0,0.0,0.0,1516.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230106,2023,1,6,45,전북,0.0,0.0,2567.0,0.0,0.0,2567.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230107,2023,1,7,27,대구,0.0,0.0,1879.0,0.0,0.0,1879.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230107,2023,1,7,31,울산,0.0,0.0,1236.0,0.0,0.0,1236.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230107,2023,1,7,48,경남,0.0,0.0,2417.0,0.0,0.0,2417.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230108,2023,1,8,11,서울,0.0,0.0,4048.0,0.0,0.0,4048.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230108,2023,1,8,31,울산,0.0,0.0,1722.0,0.0,0.0,1722.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230108,2023,1,8,41,경기,0.0,0.0,3082.0,0.0,0.0,3082.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230109,2023,1,9,41,경기,0.0,0.0,1267.0,0.0,0.0,1267.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230110,2023,1,10,11,서울,0.0,0.0,3304.0,0.0,0.0,3304.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230110,2023,1,10,41,경기,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230111,2023,1,11,31,울산,0.0,0.0,1089.0,0.0,0.0,1089.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230117,2023,1,17,42,강원,0.0,0.0,1719.0,0.0,0.0,1719.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230119,2023,1,19,11,서울,0.0,0.0,934.0,0.0,0.0,934.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230119,2023,1,19,41,경기,0.0,0.0,1495.0,0.0,0.0,1495.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
