"MATCH_SEQ_NO","HOME_TEAM_NM","LEA_NM","STDM_NM","MATCH_DE","SPORTS_VIEWNG_NMPR_CO"
1,DB,정규경기,원주종합,"20241019",4248.00000
2,DB,정규경기,원주종합,"20241024",2024.00000
3,DB,정규경기,원주종합,"20241027",3331.00000
4,DB,정규경기,원주종합,"20241104",1807.00000
5,DB,정규경기,원주종합,"20241110",2685.00000
6,DB,정규경기,원주종합,"20241112",2052.00000
7,DB,정규경기,원주종합,"20241128",2054.00000
8,DB,정규경기,원주종합,"20241204",2071.00000
9,DB,정규경기,원주종합,"20241216",2006.00000
10,DB,정규경기,원주종합,"20241219",4224.00000
11,DB,정규경기,원주종합,"20241221",3130.00000
12,DB,정규경기,원주종합,"20241222",3073.00000
13,DB,정규경기,원주종합,"20241227",2530.00000
14,DB,정규경기,원주종합,"20250112",3315.00000
15,DB,정규경기,원주종합,"20250114",2390.00000
16,DB,정규경기,원주종합,"20250124",2488.00000
17,DB,정규경기,원주종합,"20250129",3052.00000
18,DB,정규경기,원주종합,"20250201",3229.00000
19,DB,정규경기,원주종합,"20250213",2902.00000
20,DB,정규경기,원주종합,"20250227",2507.00000
21,DB,정규경기,원주종합,"20250301",3212.00000
22,DB,정규경기,원주종합,"20250303",2855.00000
23,DB,정규경기,원주종합,"20250308",2730.00000
24,DB,정규경기,원주종합,"20250316",3060.00000
25,DB,정규경기,원주종합,"20250327",2168.00000
26,DB,정규경기,원주종합,"20250406",2565.00000
27,DB,정규경기,원주종합,"20250408",3272.00000
28,삼성,정규경기,잠실실내,"20241027",3638.00000
29,삼성,정규경기,잠실실내,"20241029",2095.00000
30,삼성,정규경기,잠실실내,"20241031",1576.00000
31,삼성,정규경기,잠실실내,"20241102",2560.00000
32,삼성,정규경기,잠실실내,"20241107",1790.00000
33,삼성,정규경기,잠실실내,"20241128",1627.00000
34,삼성,정규경기,잠실실내,"20241130",2617.00000
35,삼성,정규경기,잠실실내,"20241202",1772.00000
36,삼성,정규경기,잠실실내,"20241207",3649.00000
37,삼성,정규경기,잠실실내,"20250102",1448.00000
38,삼성,정규경기,잠실실내,"20250104",2650.00000
39,삼성,정규경기,잠실실내,"20250106",1708.00000
40,삼성,정규경기,잠실실내,"20250109",1385.00000
41,삼성,정규경기,잠실실내,"20250126",3484.00000
42,삼성,정규경기,잠실실내,"20250129",4497.00000
43,삼성,정규경기,잠실실내,"20250205",1504.00000
44,삼성,정규경기,잠실실내,"20250207",1498.00000
45,삼성,정규경기,잠실실내,"20250209",2836.00000
46,삼성,정규경기,잠실실내,"20250301",2622.00000
47,삼성,정규경기,잠실실내,"20250303",2648.00000
48,삼성,정규경기,잠실실내,"20250305",1697.00000
49,삼성,정규경기,잠실실내,"20250315",2024.00000
50,삼성,정규경기,잠실실내,"20250324",957.00000
51,삼성,정규경기,잠실실내,"20250326",1274.00000
52,삼성,정규경기,잠실실내,"20250329",1787.00000
53,삼성,정규경기,잠실실내,"20250330",2518.00000
54,삼성,정규경기,잠실실내,"20250401",2025.00000
55,소노,정규경기,고양 소노 아레나,"20241026",5125.00000
56,소노,정규경기,고양 소노 아레나,"20241028",1617.00000
57,소노,정규경기,고양 소노 아레나,"20241031",2133.00000
58,소노,정규경기,고양 소노 아레나,"20241113",2121.00000
59,소노,정규경기,고양 소노 아레나,"20241130",3056.00000
60,소노,정규경기,고양 소노 아레나,"20241201",3509.00000
61,소노,정규경기,고양 소노 아레나,"20241206",1674.00000
62,소노,정규경기,고양 소노 아레나,"20241208",4007.00000
63,소노,정규경기,고양 소노 아레나,"20241213",2005.00000
64,소노,정규경기,고양 소노 아레나,"20241218",1751.00000
65,소노,정규경기,고양 소노 아레나,"20241221",2647.00000
66,소노,정규경기,고양 소노 아레나,"20241225",4743.00000
67,소노,정규경기,고양 소노 아레나,"20250109",1914.00000
68,소노,정규경기,고양 소노 아레나,"20250111",2900.00000
69,소노,정규경기,고양 소노 아레나,"20250112",3131.00000
70,소노,정규경기,고양 소노 아레나,"20250115",1403.00000
71,소노,정규경기,고양 소노 아레나,"20250125",2981.00000
72,소노,정규경기,고양 소노 아레나,"20250128",2790.00000
73,소노,정규경기,고양 소노 아레나,"20250202",2968.00000
74,소노,정규경기,고양 소노 아레나,"20250211",1850.00000
