MATCH_SEQ_NO,HOME_TEAM_NM,LEA_NM,STDM_NM,MATCH_DE,SPORTS_VIEWNG_NMPR_CO
1,DB,정규경기,원주종합,20241019,4248.0
2,DB,정규경기,원주종합,20241024,2024.0
3,DB,정규경기,원주종합,20241027,3331.0
4,DB,정규경기,원주종합,20241104,1807.0
5,DB,정규경기,원주종합,20241110,2685.0
6,DB,정규경기,원주종합,20241112,2052.0
7,DB,정규경기,원주종합,20241128,2054.0
8,DB,정규경기,원주종합,20241204,2071.0
9,DB,정규경기,원주종합,20241216,2006.0
10,DB,정규경기,원주종합,20241219,4224.0
11,DB,정규경기,원주종합,20241221,3130.0
12,DB,정규경기,원주종합,20241222,3073.0
13,DB,정규경기,원주종합,20241227,2530.0
14,DB,정규경기,원주종합,20250112,3315.0
15,DB,정규경기,원주종합,20250114,2390.0
16,DB,정규경기,원주종합,20250124,2488.0
17,DB,정규경기,원주종합,20250129,3052.0
18,DB,정규경기,원주종합,20250201,3229.0
19,DB,정규경기,원주종합,20250213,2902.0
20,DB,정규경기,원주종합,20250227,2507.0
21,DB,정규경기,원주종합,20250301,3212.0
22,DB,정규경기,원주종합,20250303,2855.0
23,DB,정규경기,원주종합,20250308,2730.0
24,DB,정규경기,원주종합,20250316,3060.0
25,DB,정규경기,원주종합,20250327,2168.0
26,DB,정규경기,원주종합,20250406,2565.0
27,DB,정규경기,원주종합,20250408,3272.0
28,삼성,정규경기,잠실실내,20241027,3638.0
29,삼성,정규경기,잠실실내,20241029,2095.0
30,삼성,정규경기,잠실실내,20241031,1576.0
31,삼성,정규경기,잠실실내,20241102,2560.0
32,삼성,정규경기,잠실실내,20241107,1790.0
33,삼성,정규경기,잠실실내,20241128,1627.0
34,삼성,정규경기,잠실실내,20241130,2617.0
35,삼성,정규경기,잠실실내,20241202,1772.0
36,삼성,정규경기,잠실실내,20241207,3649.0
37,삼성,정규경기,잠실실내,20250102,1448.0
38,삼성,정규경기,잠실실내,20250104,2650.0
39,삼성,정규경기,잠실실내,20250106,1708.0
40,삼성,정규경기,잠실실내,20250109,1385.0
41,삼성,정규경기,잠실실내,20250126,3484.0
42,삼성,정규경기,잠실실내,20250129,4497.0
43,삼성,정규경기,잠실실내,20250205,1504.0
44,삼성,정규경기,잠실실내,20250207,1498.0
45,삼성,정규경기,잠실실내,20250209,2836.0
46,삼성,정규경기,잠실실내,20250301,2622.0
47,삼성,정규경기,잠실실내,20250303,2648.0
48,삼성,정규경기,잠실실내,20250305,1697.0
49,삼성,정규경기,잠실실내,20250315,2024.0
50,삼성,정규경기,잠실실내,20250324,957.0
51,삼성,정규경기,잠실실내,20250326,1274.0
52,삼성,정규경기,잠실실내,20250329,1787.0
53,삼성,정규경기,잠실실내,20250330,2518.0
54,삼성,정규경기,잠실실내,20250401,2025.0
55,소노,정규경기,고양 소노 아레나,20241026,5125.0
56,소노,정규경기,고양 소노 아레나,20241028,1617.0
57,소노,정규경기,고양 소노 아레나,20241031,2133.0
58,소노,정규경기,고양 소노 아레나,20241113,2121.0
59,소노,정규경기,고양 소노 아레나,20241130,3056.0
60,소노,정규경기,고양 소노 아레나,20241201,3509.0
61,소노,정규경기,고양 소노 아레나,20241206,1674.0
62,소노,정규경기,고양 소노 아레나,20241208,4007.0
63,소노,정규경기,고양 소노 아레나,20241213,2005.0
64,소노,정규경기,고양 소노 아레나,20241218,1751.0
65,소노,정규경기,고양 소노 아레나,20241221,2647.0
66,소노,정규경기,고양 소노 아레나,20241225,4743.0
67,소노,정규경기,고양 소노 아레나,20250109,1914.0
68,소노,정규경기,고양 소노 아레나,20250111,2900.0
69,소노,정규경기,고양 소노 아레나,20250112,3131.0
70,소노,정규경기,고양 소노 아레나,20250115,1403.0
71,소노,정규경기,고양 소노 아레나,20250125,2981.0
72,소노,정규경기,고양 소노 아레나,20250128,2790.0
73,소노,정규경기,고양 소노 아레나,20250202,2968.0
74,소노,정규경기,고양 소노 아레나,20250211,1850.0
75,소노,정규경기,고양 소노 아레나,20250302,3666.0
76,소노,정규경기,고양 소노 아레나,20250307,1730.0
77,소노,정규경기,고양 소노 아레나,20250315,3207.0
78,소노,정규경기,고양 소노 아레나,20250320,921.0
79,소노,정규경기,고양 소노 아레나,20250322,2433.0
80,소노,정규경기,고양 소노 아레나,20250404,1680.0
81,소노,정규경기,고양 소노 아레나,20250408,1880.0
82,SK,정규경기,잠실학생,20241020,5207.0
83,SK,정규경기,잠실학생,20241022,4823.0
