"MATCH_SEQ_NO","MATCH_DE","LEA_NM","STDM_NM","HOME_TEAM_NM","AWAY_TEAM_NM"
1,"20250505",챔피언결정전,잠실학생체육관,SK,LG
2,"20250507",챔피언결정전,잠실학생체육관,SK,LG
3,"20250509",챔피언결정전,창원체육관,LG,SK
4,"20250511",챔피언결정전,창원체육관,LG,SK
5,"20250513",챔피언결정전,잠실학생체육관,SK,LG
6,"20250515",챔피언결정전,창원체육관,LG,SK
7,"20250517",챔피언결정전,잠실학생체육관,SK,LG
8,"20250401",정규시즌,잠실실내체육관,삼성,한국가스공사
9,"20250402",정규시즌,부산사직체육관,KCC,소노
10,"20250403",정규시즌,창원체육관,LG,KGC
11,"20250403",정규시즌,울산동천체육관,현대모비스,KT
12,"20250404",정규시즌,부산사직체육관,KCC,삼성
13,"20250404",정규시즌,고양 소노 아레나,소노,DB
14,"20250405",정규시즌,울산동천체육관,현대모비스,LG
15,"20250405",정규시즌,안양 정관장 아레나,KGC,SK
16,"20250405",정규시즌,대구체육관,한국가스공사,KT
17,"20250406",정규시즌,잠실학생체육관,SK,소노
18,"20250406",정규시즌,울산동천체육관,현대모비스,삼성
19,"20250406",정규시즌,원주종합체육관,DB,KCC
20,"20250407",챔피언결정전,이천 LG 챔피언스파크,상무,KT
21,"20250408",정규시즌,수원 KT 아레나,KT,KCC
22,"20250408",정규시즌,원주종합체육관,DB,KGC
23,"20250408",정규시즌,잠실학생체육관,SK,삼성
24,"20250408",정규시즌,대구체육관,한국가스공사,현대모비스
25,"20250408",정규시즌,고양 소노 아레나,소노,LG
26,"20250412",플레이오프,수원 KT 아레나,KT,한국가스공사
27,"20250413",플레이오프,울산동천체육관,현대모비스,KGC
28,"20250414",플레이오프,수원 KT 아레나,KT,한국가스공사
29,"20250415",플레이오프,울산동천체육관,현대모비스,KGC
30,"20250416",플레이오프,대구체육관,한국가스공사,KT
31,"20250417",플레이오프,안양 정관장 아레나,KGC,현대모비스
32,"20250418",플레이오프,대구체육관,한국가스공사,KT
33,"20250420",플레이오프,수원 KT 아레나,KT,한국가스공사
34,"20250423",플레이오프,잠실학생체육관,SK,KT
35,"20250424",플레이오프,창원체육관,LG,현대모비스
36,"20250425",플레이오프,잠실학생체육관,SK,KT
37,"20250426",플레이오프,창원체육관,LG,현대모비스
38,"20250427",플레이오프,수원 KT 아레나,KT,SK
39,"20250428",플레이오프,울산동천체육관,현대모비스,LG
40,"20250429",플레이오프,수원 KT 아레나,KT,SK
41,"20250301",정규시즌,원주종합체육관,DB,소노
42,"20250301",정규시즌,잠실실내체육관,삼성,한국가스공사
43,"20250301",정규시즌,창원체육관,LG,KGC
44,"20250302",정규시즌,잠실학생체육관,SK,KCC
45,"20250302",정규시즌,울산동천체육관,현대모비스,KT
46,"20250302",정규시즌,고양 소노 아레나,소노,한국가스공사
47,"20250303",정규시즌,원주종합체육관,DB,LG
48,"20250303",정규시즌,잠실실내체육관,삼성,KGC
49,"20250304",정규시즌,수원 KT 아레나,KT,한국가스공사
50,"20250305",정규시즌,잠실실내체육관,삼성,SK
51,"20250306",정규시즌,울산동천체육관,현대모비스,DB
52,"20250307",정규시즌,대구체육관,한국가스공사,LG
53,"20250307",정규시즌,고양 소노 아레나,소노,SK
54,"20250308",정규시즌,원주종합체육관,DB,삼성
55,"20250308",정규시즌,안양 정관장 아레나,KGC,현대모비스
56,"20250309",정규시즌,잠실학생체육관,SK,한국가스공사
57,"20250309",정규시즌,창원체육관,LG,소노
58,"20250310",정규시즌,안양 정관장 아레나,KGC,DB
59,"20250311",정규시즌,울산동천체육관,현대모비스,삼성
60,"20250312",정규시즌,대구체육관,한국가스공사,KGC
61,"20250313",정규시즌,부산사직체육관,KCC,삼성
62,"20250313",정규시즌,수원 KT 아레나,KT,소노
63,"20250314",정규시즌,창원체육관,LG,현대모비스
64,"20250314",정규시즌,잠실학생체육관,SK,DB
65,"20250315",정규시즌,대구체육관,한국가스공사,KCC
66,"20250315",정규시즌,잠실실내체육관,삼성,KT
67,"20250315",정규시즌,고양 소노 아레나,소노,KGC
68,"20250316",정규시즌,수원 KT 아레나,KT,LG
69,"20250316",정규시즌,울산동천체육관,현대모비스,KCC
70,"20250316",정규시즌,원주종합체육관,DB,SK
71,"20250317",정규시즌,대구체육관,한국가스공사,KGC
72,"20250318",D리그 1차,이천 LG 챔피언스파크,삼성,SK
73,"20250318",D리그 1차,이천 LG 챔피언스파크,LG,KT
74,"20250318",정규시즌,울산동천체육관,현대모비스,KCC
75,"20250319",정규시즌,수원 KT 아레나,KT,SK
76,"20250320",D리그 1차,이천 LG 챔피언스파크,KCC,현대모비스
77,"20250320",D리그 1차,이천 LG 챔피언스파크,삼성,상무
78,"20250320",정규시즌,고양 소노 아레나,소노,한국가스공사
79,"20250320",정규시즌,창원체육관,LG,DB
80,"20250321",정규시즌,잠실학생체육관,SK,현대모비스
81,"20250321",정규시즌,안양 정관장 아레나,KGC,KCC
82,"20250322",정규시즌,창원체육관,LG,KT
83,"20250322",정규시즌,대구체육관,한국가스공사,DB
84,"20250322",정규시즌,고양 소노 아레나,소노,삼성
85,"20250323",정규시즌,잠실학생체육관,SK,KCC
86,"20250323",정규시즌,안양 정관장 아레나,KGC,현대모비스
87,"20250323",정규시즌,창원체육관,LG,한국가스공사
88,"20250324",정규시즌,잠실실내체육관,삼성,KT
89,"20250325",플레이오프,이천 LG 챔피언스파크,상무,SK
90,"20250325",플레이오프,이천 LG 챔피언스파크,현대모비스,KT
91,"20250325",정규시즌,안양 정관장 아레나,KGC,소노
92,"20250326",정규시즌,잠실실내체육관,삼성,LG
93,"20250327",정규시즌,수원 KT 아레나,KT,소노
94,"20250327",정규시즌,원주종합체육관,DB,현대모비스
95,"20250328",정규시즌,부산사직체육관,KCC,한국가스공사
96,"20250328",정규시즌,잠실학생체육관,SK,LG
97,"20250329",정규시즌,울산동천체육관,현대모비스,소노
98,"20250329",정규시즌,잠실실내체육관,삼성,KGC
99,"20250329",정규시즌,수원 KT 아레나,KT,DB
100,"20250330",정규시즌,부산사직체육관,KCC,LG
101,"20250330",정규시즌,대구체육관,한국가스공사,SK
102,"20250330",정규시즌,잠실실내체육관,삼성,DB
103,"20250331",정규시즌,안양 정관장 아레나,KGC,KT
104,"20250201",정규시즌,원주종합체육관,DB,LG
105,"20250201",정규시즌,대구체육관,한국가스공사,SK
106,"20250201",정규시즌,안양 정관장 아레나,KGC,현대모비스
107,"20250202",정규시즌,부산사직체육관,KCC,KT
108,"20250202",정규시즌,대구체육관,한국가스공사,삼성
109,"20250202",정규시즌,고양 소노 아레나,소노,DB
110,"20250203",정규시즌,잠실학생체육관,SK,LG
111,"20250204",D리그 1차,이천 LG 챔피언스파크,상무,한국가스공사
112,"20250204",D리그 1차,이천 LG 챔피언스파크,KT,SK
113,"20250204",정규시즌,부산사직체육관,KCC,KGC
114,"20250205",정규시즌,잠실실내체육관,삼성,현대모비스
115,"20250206",정규시즌,창원체육관,LG,KCC
116,"20250206",정규시즌,잠실학생체육관,SK,KT
117,"20250207",정규시즌,울산동천체육관,현대모비스,한국가스공사
118,"20250207",정규시즌,잠실실내체육관,삼성,소노
119,"20250208",정규시즌,부산사직체육관,KCC,LG
120,"20250208",정규시즌,잠실학생체육관,SK,KGC
121,"20250208",정규시즌,수원 KT 아레나,KT,DB
122,"20250209",정규시즌,대구체육관,한국가스공사,현대모비스
