"MATCH_SEQ_NO","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
1,"20230401",키움,한화,고척,16000.00000
2,"20230401",SSG,KIA,문학,23000.00000
3,"20230401",KT,LG,수원,18700.00000
4,"20230401",두산,롯데,잠실,23750.00000
5,"20230401",삼성,NC,대구,24000.00000
6,"20230402",키움,한화,고척,11562.00000
7,"20230402",SSG,KIA,문학,23000.00000
8,"20230402",KT,LG,수원,14700.00000
9,"20230402",두산,롯데,잠실,23750.00000
10,"20230402",삼성,NC,대구,18483.00000
11,"20230404",삼성,한화,대구,5936.00000
12,"20230404",키움,LG,고척,4510.00000
13,"20230404",SSG,롯데,문학,5809.00000
14,"20230404",두산,NC,잠실,3924.00000
15,"20230405",키움,LG,고척,4194.00000
16,"20230405",두산,NC,잠실,2172.00000
17,"20230406",삼성,한화,대구,6525.00000
18,"20230406",키움,LG,고척,4556.00000
19,"20230406",두산,NC,잠실,3724.00000
20,"20230407",롯데,KT,사직,14734.00000
21,"20230407",KIA,두산,광주,12821.00000
22,"20230407",한화,SSG,한밭,10415.00000
23,"20230407",LG,삼성,잠실,17201.00000
24,"20230407",NC,키움,창원,6867.00000
25,"20230408",롯데,KT,사직,16555.00000
26,"20230408",KIA,두산,광주,16432.00000
27,"20230408",한화,SSG,한밭,11232.00000
28,"20230408",LG,삼성,잠실,22141.00000
29,"20230408",NC,키움,창원,9763.00000
30,"20230409",롯데,KT,사직,12283.00000
31,"20230409",KIA,두산,광주,14070.00000
32,"20230409",한화,SSG,한밭,9455.00000
33,"20230409",LG,삼성,잠실,20439.00000
34,"20230409",NC,키움,창원,7686.00000
35,"20230411",KIA,한화,광주,3623.00000
36,"20230411",NC,KT,창원,2069.00000
37,"20230411",롯데,LG,사직,5286.00000
38,"20230411",삼성,SSG,대구,3907.00000
39,"20230411",두산,키움,잠실,4372.00000
40,"20230412",KIA,한화,광주,5252.00000
41,"20230412",NC,KT,창원,2448.00000
42,"20230412",롯데,LG,사직,6519.00000
43,"20230412",삼성,SSG,대구,5405.00000
