MATCH_SEQ_NO,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
1,20230401,키움,한화,고척,16000.0
2,20230401,SSG,KIA,문학,23000.0
3,20230401,KT,LG,수원,18700.0
4,20230401,두산,롯데,잠실,23750.0
5,20230401,삼성,NC,대구,24000.0
6,20230402,키움,한화,고척,11562.0
7,20230402,SSG,KIA,문학,23000.0
8,20230402,KT,LG,수원,14700.0
9,20230402,두산,롯데,잠실,23750.0
10,20230402,삼성,NC,대구,18483.0
11,20230404,삼성,한화,대구,5936.0
12,20230404,키움,LG,고척,4510.0
13,20230404,SSG,롯데,문학,5809.0
14,20230404,두산,NC,잠실,3924.0
15,20230405,키움,LG,고척,4194.0
16,20230405,두산,NC,잠실,2172.0
17,20230406,삼성,한화,대구,6525.0
18,20230406,키움,LG,고척,4556.0
19,20230406,두산,NC,잠실,3724.0
20,20230407,롯데,KT,사직,14734.0
21,20230407,KIA,두산,광주,12821.0
22,20230407,한화,SSG,한밭,10415.0
23,20230407,LG,삼성,잠실,17201.0
24,20230407,NC,키움,창원,6867.0
25,20230408,롯데,KT,사직,16555.0
26,20230408,KIA,두산,광주,16432.0
27,20230408,한화,SSG,한밭,11232.0
28,20230408,LG,삼성,잠실,22141.0
29,20230408,NC,키움,창원,9763.0
30,20230409,롯데,KT,사직,12283.0
31,20230409,KIA,두산,광주,14070.0
32,20230409,한화,SSG,한밭,9455.0
33,20230409,LG,삼성,잠실,20439.0
34,20230409,NC,키움,창원,7686.0
35,20230411,KIA,한화,광주,3623.0
36,20230411,NC,KT,창원,2069.0
37,20230411,롯데,LG,사직,5286.0
38,20230411,삼성,SSG,대구,3907.0
39,20230411,두산,키움,잠실,4372.0
40,20230412,KIA,한화,광주,5252.0
41,20230412,NC,KT,창원,2448.0
42,20230412,롯데,LG,사직,6519.0
43,20230412,삼성,SSG,대구,5405.0
44,20230413,KIA,한화,광주,5457.0
45,20230413,NC,KT,창원,3174.0
46,20230413,롯데,LG,사직,6505.0
47,20230413,삼성,SSG,대구,4648.0
48,20230413,두산,키움,잠실,6917.0
49,20230414,KT,한화,수원,7145.0
50,20230414,키움,KIA,고척,8043.0
51,20230414,삼성,롯데,대구,9124.0
52,20230414,SSG,NC,문학,8218.0
53,20230414,LG,두산,잠실,16528.0
54,20230415,KT,한화,수원,13212.0
55,20230415,키움,KIA,고척,13752.0
56,20230415,삼성,롯데,대구,18231.0
57,20230415,SSG,NC,문학,13956.0
58,20230415,LG,두산,잠실,21243.0
59,20230416,KT,한화,수원,13010.0
60,20230416,키움,KIA,고척,11265.0
61,20230416,삼성,롯데,대구,16076.0
62,20230416,SSG,NC,문학,13460.0
63,20230416,LG,두산,잠실,20090.0
64,20230418,롯데,KIA,사직,3829.0
65,20230418,LG,NC,잠실,6574.0
66,20230418,한화,두산,한밭,4012.0
67,20230418,KT,SSG,수원,3398.0
68,20230418,키움,삼성,고척,3104.0
69,20230419,롯데,KIA,사직,4869.0
70,20230419,LG,NC,잠실,7090.0
71,20230419,한화,두산,한밭,4212.0
72,20230419,KT,SSG,수원,3405.0
73,20230419,키움,삼성,고척,3869.0
74,20230420,롯데,KIA,사직,6423.0
75,20230420,LG,NC,잠실,9090.0
76,20230420,한화,두산,한밭,4122.0
77,20230420,KT,SSG,수원,4472.0
78,20230420,키움,삼성,고척,3918.0
79,20230421,두산,KT,잠실,6896.0
80,20230421,한화,LG,한밭,6004.0
81,20230421,NC,롯데,창원,12613.0
82,20230421,KIA,삼성,광주,6870.0
83,20230421,SSG,키움,문학,12374.0
84,20230422,두산,KT,잠실,13410.0
85,20230422,한화,LG,한밭,11152.0
86,20230422,NC,롯데,창원,15130.0
87,20230422,KIA,삼성,광주,12990.0
88,20230422,SSG,키움,문학,16535.0
89,20230423,두산,KT,잠실,10151.0
90,20230423,한화,LG,한밭,9023.0
91,20230423,NC,롯데,창원,13286.0
92,20230423,KIA,삼성,광주,10026.0
93,20230423,SSG,키움,문학,15878.0
94,20230425,키움,KT,고척,2956.0
95,20230425,KIA,NC,광주,2216.0
96,20230425,LG,SSG,잠실,7344.0
97,20230426,롯데,한화,사직,7905.0
98,20230426,키움,KT,고척,2489.0
99,20230426,KIA,NC,광주,4798.0
100,20230426,삼성,두산,대구,9213.0
