"MATCH_SEQ_NO","LEA_NM","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
1,K리그1,"20230408",서울,대구,서울 월드컵,45007.00000
2,K리그1,"20230505",서울,전북,서울 월드컵,37008.00000
3,K리그1,"20231125",서울,수원,서울 월드컵,36007.00000
4,K리그1,"20231008",서울,전북,서울 월드컵,33103.00000
5,K리그1,"20230819",울산,전북,울산 문수,30756.00000
6,K리그1,"20230422",서울,수원,서울 월드컵,30186.00000
7,K리그1,"20231203",울산,전북,울산 문수,28638.00000
8,K리그1,"20230225",울산,전북,울산 문수,28039.00000
9,K리그1,"20230603",전북,울산,전주 월드컵,27797.00000
10,K리그1,"20230827",서울,울산,서울 월드컵,27051.00000
11,K리그1,"20230514",울산,서울,울산 문수,26004.00000
12,K리그1,"20231202",수원,강원,수원 월드컵,24932.00000
13,K리그1,"20230902",수원,서울,수원 월드컵,22882.00000
14,K리그1,"20230701",서울,대전,서울 월드컵,22637.00000
15,K리그1,"20230225",서울,인천,서울 월드컵,22204.00000
16,K리그1,"20230708",전북,서울,전주 월드컵,21139.00000
17,K리그1,"20230712",대전,전북,대전 월드컵,20592.00000
18,K리그1,"20230312",서울,울산,서울 월드컵,20549.00000
19,K리그1,"20230520",서울,제주,서울 월드컵,20338.00000
20,K리그1,"20230610",울산,제주,울산 문수,20190.00000
21,K리그1,"20230917",서울,광주,서울 월드컵,20165.00000
22,K리그1,"20230624",울산,대구,울산 문수,20070.00000
23,K리그1,"20230305",전북,수원,전주 월드컵,19660.00000
24,K리그1,"20230624",수원,서울,수원 월드컵,19513.00000
25,K리그1,"20231029",울산,대구,울산 문수,18933.00000
26,K리그1,"20230226",대전,강원,대전 월드컵,18590.00000
27,K리그1,"20230903",울산,광주,울산 문수,18358.00000
28,K리그1,"20230722",서울,인천,서울 월드컵,18150.00000
29,K리그1,"20230611",서울,포항,서울 월드컵,18108.00000
30,K리그1,"20230819",서울,대구,서울 월드컵,17800.00000
31,K리그1,"20231008",울산,인천,울산 문수,17584.00000
32,K리그1,"20230805",수원,수원FC,수원 월드컵,17481.00000
33,K리그1,"20230528",울산,대전,울산 문수,17251.00000
34,K리그1,"20230916",울산,대전,울산 문수,17237.00000
35,K리그1,"20231112",울산,포항,울산 문수,16946.00000
36,K리그1,"20230422",울산,포항,울산 문수,16761.00000
37,K리그1,"20230416",대전,울산,대전 월드컵,16359.00000
38,K리그1,"20231008",대전,제주,대전 월드컵,15818.00000
39,K리그1,"20230401",대전,서울,대전 월드컵,15793.00000
40,K리그1,"20230514",인천,전북,인천 전용,15738.00000
41,K리그1,"20230319",울산,수원FC,울산 문수,15230.00000
42,K리그1,"20230408",울산,수원,울산 문수,15181.00000
43,K리그1,"20230930",인천,수원,인천 전용,15040.00000
44,K리그1,"20230804",서울,포항,서울 월드컵,15016.00000
45,K리그1,"20230930",전북,대구,전주 월드컵,14963.00000
46,K리그1,"20230923",대전,수원,대전 월드컵,14810.00000
47,K리그1,"20230930",포항,울산,포항 스틸야드,14640.00000
48,K리그1,"20230708",포항,울산,포항 스틸야드,14486.00000
49,K리그1,"20230528",서울,강원,서울 월드컵,14419.00000
50,K리그1,"20230529",포항,전북,포항 스틸야드,14377.00000
51,K리그1,"20230520",대전,대구,대전 월드컵,14275.00000
52,K리그1,"20230812",전북,수원,전주 월드컵,14216.00000
53,K리그1,"20230226",포항,대구,포항 스틸야드,14089.00000
54,K리그1,"20230604",대전,인천,대전 월드컵,13779.00000
55,K리그1,"20230430",대전,제주,대전 월드컵,13777.00000
56,K리그1,"20230709",대전,수원,대전 월드컵,13685.00000
57,K리그1,"20230521",전북,수원FC,전주 월드컵,13634.00000
58,K리그2,"20231029",부산,부천,부산 아시아드,13340.00000
59,K리그1,"20230813",대전,서울,대전 월드컵,13290.00000
60,K리그1,"20230603",수원,수원FC,수원 월드컵,13104.00000
61,K리그1,"20230721",울산,제주,울산 문수,13073.00000
62,K리그1,"20230401",전북,포항,전주 월드컵,12767.00000
63,K리그1,"20230521",수원,울산,수원 월드컵,12639.00000
64,K리그1,"20231203",대구,인천,대구iM뱅크PARK,12334.00000
65,K리그1,"20231028",전북,포항,전주 월드컵,12266.00000
66,K리그1,"20230319",대구,전북,대구iM뱅크PARK,12253.00000
67,K리그1,"20231111",대구,광주,대구iM뱅크PARK,12222.00000
68,K리그1,"20231021",대구,전북,대구iM뱅크PARK,12211.00000
69,K리그1,"20230701",전북,제주,전주 월드컵,12175.00000
70,K리그1,"20230701",대구,수원,대구iM뱅크PARK,12175.00000
