MATCH_SEQ_NO,LEA_NM,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
1,K리그1,20230408,서울,대구,서울 월드컵,45007.0
2,K리그1,20230505,서울,전북,서울 월드컵,37008.0
3,K리그1,20231125,서울,수원,서울 월드컵,36007.0
4,K리그1,20231008,서울,전북,서울 월드컵,33103.0
5,K리그1,20230819,울산,전북,울산 문수,30756.0
6,K리그1,20230422,서울,수원,서울 월드컵,30186.0
7,K리그1,20231203,울산,전북,울산 문수,28638.0
8,K리그1,20230225,울산,전북,울산 문수,28039.0
9,K리그1,20230603,전북,울산,전주 월드컵,27797.0
10,K리그1,20230827,서울,울산,서울 월드컵,27051.0
11,K리그1,20230514,울산,서울,울산 문수,26004.0
12,K리그1,20231202,수원,강원,수원 월드컵,24932.0
13,K리그1,20230902,수원,서울,수원 월드컵,22882.0
14,K리그1,20230701,서울,대전,서울 월드컵,22637.0
15,K리그1,20230225,서울,인천,서울 월드컵,22204.0
16,K리그1,20230708,전북,서울,전주 월드컵,21139.0
17,K리그1,20230712,대전,전북,대전 월드컵,20592.0
18,K리그1,20230312,서울,울산,서울 월드컵,20549.0
19,K리그1,20230520,서울,제주,서울 월드컵,20338.0
20,K리그1,20230610,울산,제주,울산 문수,20190.0
21,K리그1,20230917,서울,광주,서울 월드컵,20165.0
22,K리그1,20230624,울산,대구,울산 문수,20070.0
23,K리그1,20230305,전북,수원,전주 월드컵,19660.0
24,K리그1,20230624,수원,서울,수원 월드컵,19513.0
25,K리그1,20231029,울산,대구,울산 문수,18933.0
26,K리그1,20230226,대전,강원,대전 월드컵,18590.0
27,K리그1,20230903,울산,광주,울산 문수,18358.0
28,K리그1,20230722,서울,인천,서울 월드컵,18150.0
29,K리그1,20230611,서울,포항,서울 월드컵,18108.0
30,K리그1,20230819,서울,대구,서울 월드컵,17800.0
31,K리그1,20231008,울산,인천,울산 문수,17584.0
32,K리그1,20230805,수원,수원FC,수원 월드컵,17481.0
33,K리그1,20230528,울산,대전,울산 문수,17251.0
34,K리그1,20230916,울산,대전,울산 문수,17237.0
35,K리그1,20231112,울산,포항,울산 문수,16946.0
36,K리그1,20230422,울산,포항,울산 문수,16761.0
37,K리그1,20230416,대전,울산,대전 월드컵,16359.0
38,K리그1,20231008,대전,제주,대전 월드컵,15818.0
39,K리그1,20230401,대전,서울,대전 월드컵,15793.0
40,K리그1,20230514,인천,전북,인천 전용,15738.0
41,K리그1,20230319,울산,수원FC,울산 문수,15230.0
42,K리그1,20230408,울산,수원,울산 문수,15181.0
43,K리그1,20230930,인천,수원,인천 전용,15040.0
44,K리그1,20230804,서울,포항,서울 월드컵,15016.0
45,K리그1,20230930,전북,대구,전주 월드컵,14963.0
46,K리그1,20230923,대전,수원,대전 월드컵,14810.0
47,K리그1,20230930,포항,울산,포항 스틸야드,14640.0
48,K리그1,20230708,포항,울산,포항 스틸야드,14486.0
49,K리그1,20230528,서울,강원,서울 월드컵,14419.0
50,K리그1,20230529,포항,전북,포항 스틸야드,14377.0
51,K리그1,20230520,대전,대구,대전 월드컵,14275.0
52,K리그1,20230812,전북,수원,전주 월드컵,14216.0
53,K리그1,20230226,포항,대구,포항 스틸야드,14089.0
54,K리그1,20230604,대전,인천,대전 월드컵,13779.0
55,K리그1,20230430,대전,제주,대전 월드컵,13777.0
56,K리그1,20230709,대전,수원,대전 월드컵,13685.0
57,K리그1,20230521,전북,수원FC,전주 월드컵,13634.0
58,K리그2,20231029,부산,부천,부산 아시아드,13340.0
59,K리그1,20230813,대전,서울,대전 월드컵,13290.0
60,K리그1,20230603,수원,수원FC,수원 월드컵,13104.0
61,K리그1,20230721,울산,제주,울산 문수,13073.0
62,K리그1,20230401,전북,포항,전주 월드컵,12767.0
