"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
1,"20230401","2023","04","01",KBO,정규리그,키움,한화,고척,16000.00000,"20250716","20250716"
2,"20230401","2023","04","01",KBO,정규리그,SSG,KIA,문학,23000.00000,"20250716","20250716"
3,"20230401","2023","04","01",KBO,정규리그,KT,LG,수원,18700.00000,"20250716","20250716"
4,"20230401","2023","04","01",KBO,정규리그,두산,롯데,잠실,23750.00000,"20250716","20250716"
5,"20230401","2023","04","01",KBO,정규리그,삼성,NC,대구,24000.00000,"20250716","20250716"
6,"20230402","2023","04","02",KBO,정규리그,키움,한화,고척,11562.00000,"20250716","20250716"
7,"20230402","2023","04","02",KBO,정규리그,SSG,KIA,문학,23000.00000,"20250716","20250716"
8,"20230402","2023","04","02",KBO,정규리그,KT,LG,수원,14700.00000,"20250716","20250716"
9,"20230402","2023","04","02",KBO,정규리그,두산,롯데,잠실,23750.00000,"20250716","20250716"
10,"20230402","2023","04","02",KBO,정규리그,삼성,NC,대구,18483.00000,"20250716","20250716"
11,"20230404","2023","04","04",KBO,정규리그,삼성,한화,대구,5936.00000,"20250716","20250716"
12,"20230404","2023","04","04",KBO,정규리그,키움,LG,고척,4510.00000,"20250716","20250716"
13,"20230404","2023","04","04",KBO,정규리그,SSG,롯데,문학,5809.00000,"20250716","20250716"
14,"20230404","2023","04","04",KBO,정규리그,두산,NC,잠실,3924.00000,"20250716","20250716"
15,"20230405","2023","04","05",KBO,정규리그,키움,LG,고척,4194.00000,"20250716","20250716"
16,"20230405","2023","04","05",KBO,정규리그,두산,NC,잠실,2172.00000,"20250716","20250716"
17,"20230406","2023","04","06",KBO,정규리그,삼성,한화,대구,6525.00000,"20250716","20250716"
18,"20230406","2023","04","06",KBO,정규리그,키움,LG,고척,4556.00000,"20250716","20250716"
19,"20230406","2023","04","06",KBO,정규리그,두산,NC,잠실,3724.00000,"20250716","20250716"
20,"20230407","2023","04","07",KBO,정규리그,롯데,KT,사직,14734.00000,"20250716","20250716"
21,"20230407","2023","04","07",KBO,정규리그,KIA,두산,광주,12821.00000,"20250716","20250716"
