"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
1,"20250505","2025","05","05",KBL,챔피언결정전,SK,LG,잠실학생체육관,5236.00000,"20250715","20250715"
2,"20250507","2025","05","07",KBL,챔피언결정전,SK,LG,잠실학생체육관,5224.00000,"20250715","20250715"
3,"20250509","2025","05","09",KBL,챔피언결정전,LG,SK,창원체육관,4950.00000,"20250715","20250715"
4,"20250511","2025","05","11",KBL,챔피언결정전,LG,SK,창원체육관,4950.00000,"20250715","20250715"
5,"20250513","2025","05","13",KBL,챔피언결정전,SK,LG,잠실학생체육관,5214.00000,"20250715","20250715"
6,"20250515","2025","05","15",KBL,챔피언결정전,LG,SK,창원체육관,4950.00000,"20250715","20250715"
7,"20250517","2025","05","17",KBL,챔피언결정전,SK,LG,잠실학생체육관,5240.00000,"20250715","20250715"
8,"20250401","2025","04","01",KBL,정규시즌,삼성,한국가스공사,잠실실내체육관,2025.00000,"20250715","20250715"
9,"20250402","2025","04","02",KBL,정규시즌,KCC,소노,부산사직체육관,1278.00000,"20250715","20250715"
10,"20250403","2025","04","03",KBL,정규시즌,LG,정관장,창원체육관,3063.00000,"20250715","20250715"
11,"20250403","2025","04","03",KBL,정규시즌,현대모비스,KT,울산동천체육관,1200.00000,"20250715","20250715"
12,"20250404","2025","04","04",KBL,정규시즌,KCC,삼성,부산사직체육관,1356.00000,"20250715","20250715"
13,"20250404","2025","04","04",KBL,정규시즌,소노,DB,고양 소노 아레나,1680.00000,"20250715","20250715"
14,"20250405","2025","04","05",KBL,정규시즌,현대모비스,LG,울산동천체육관,2159.00000,"20250715","20250715"
15,"20250405","2025","04","05",KBL,정규시즌,정관장,SK,안양 정관장 아레나,2874.00000,"20250715","20250715"
16,"20250405","2025","04","05",KBL,정규시즌,한국가스공사,KT,대구체육관,2174.00000,"20250715","20250715"
17,"20250406","2025","04","06",KBL,정규시즌,SK,소노,잠실학생체육관,4005.00000,"20250715","20250715"
18,"20250406","2025","04","06",KBL,정규시즌,현대모비스,삼성,울산동천체육관,1750.00000,"20250715","20250715"
19,"20250406","2025","04","06",KBL,정규시즌,DB,KCC,원주종합체육관,2565.00000,"20250715","20250715"
20,"20250407","2025","04","07",KBL,챔피언결정전,상무,KT,이천 LG 챔피언스파크,0.00000,"20250715","20250715"
21,"20250408","2025","04","08",KBL,정규시즌,KT,KCC,수원 KT 아레나,2034.00000,"20250715","20250715"
22,"20250408","2025","04","08",KBL,정규시즌,DB,정관장,원주종합체육관,3272.00000,"20250715","20250715"
23,"20250408","2025","04","08",KBL,정규시즌,SK,삼성,잠실학생체육관,3122.00000,"20250715","20250715"
24,"20250408","2025","04","08",KBL,정규시즌,한국가스공사,현대모비스,대구체육관,1709.00000,"20250715","20250715"
25,"20250408","2025","04","08",KBL,정규시즌,소노,LG,고양 소노 아레나,1880.00000,"20250715","20250715"
26,"20250412","2025","04","12",KBL,플레이오프,KT,한국가스공사,수원 KT 아레나,2410.00000,"20250715","20250715"
27,"20250413","2025","04","13",KBL,플레이오프,현대모비스,정관장,울산동천체육관,3813.00000,"20250715","20250715"
28,"20250414","2025","04","14",KBL,플레이오프,KT,한국가스공사,수원 KT 아레나,1579.00000,"20250715","20250715"
29,"20250415","2025","04","15",KBL,플레이오프,현대모비스,정관장,울산동천체육관,2278.00000,"20250715","20250715"
30,"20250416","2025","04","16",KBL,플레이오프,한국가스공사,KT,대구체육관,2646.00000,"20250715","20250715"
31,"20250417","2025","04","17",KBL,플레이오프,정관장,현대모비스,안양 정관장 아레나,3052.00000,"20250715","20250715"
32,"20250418","2025","04","18",KBL,플레이오프,한국가스공사,KT,대구체육관,2780.00000,"20250715","20250715"
33,"20250420","2025","04","20",KBL,플레이오프,KT,한국가스공사,수원 KT 아레나,3650.00000,"20250715","20250715"
34,"20250423","2025","04","23",KBL,플레이오프,SK,KT,잠실학생체육관,4010.00000,"20250715","20250715"
35,"20250424","2025","04","24",KBL,플레이오프,LG,현대모비스,창원체육관,4501.00000,"20250715","20250715"
36,"20250425","2025","04","25",KBL,플레이오프,SK,KT,잠실학생체육관,4870.00000,"20250715","20250715"
37,"20250426","2025","04","26",KBL,플레이오프,LG,현대모비스,창원체육관,4950.00000,"20250715","20250715"
38,"20250427","2025","04","27",KBL,플레이오프,KT,SK,수원 KT 아레나,3650.00000,"20250715","20250715"
39,"20250428","2025","04","28",KBL,플레이오프,현대모비스,LG,울산동천체육관,4319.00000,"20250715","20250715"
40,"20250429","2025","04","29",KBL,플레이오프,KT,SK,수원 KT 아레나,2311.00000,"20250715","20250715"
41,"20250301","2025","03","01",KBL,정규시즌,DB,소노,원주종합체육관,3212.00000,"20250715","20250715"
42,"20250301","2025","03","01",KBL,정규시즌,삼성,한국가스공사,잠실실내체육관,2622.00000,"20250715","20250715"
43,"20250301","2025","03","01",KBL,정규시즌,LG,정관장,창원체육관,4697.00000,"20250715","20250715"
44,"20250302","2025","03","02",KBL,정규시즌,SK,KCC,잠실학생체육관,5222.00000,"20250715","20250715"
45,"20250302","2025","03","02",KBL,정규시즌,현대모비스,KT,울산동천체육관,3008.00000,"20250715","20250715"
46,"20250302","2025","03","02",KBL,정규시즌,소노,한국가스공사,고양 소노 아레나,3666.00000,"20250715","20250715"
47,"20250303","2025","03","03",KBL,정규시즌,DB,LG,원주종합체육관,2855.00000,"20250715","20250715"
48,"20250303","2025","03","03",KBL,정규시즌,삼성,정관장,잠실실내체육관,2648.00000,"20250715","20250715"
49,"20250304","2025","03","04",KBL,정규시즌,KT,한국가스공사,수원 KT 아레나,1218.00000,"20250715","20250715"
50,"20250305","2025","03","05",KBL,정규시즌,삼성,SK,잠실실내체육관,1697.00000,"20250715","20250715"
51,"20250306","2025","03","06",KBL,정규시즌,현대모비스,DB,울산동천체육관,1120.00000,"20250715","20250715"
52,"20250307","2025","03","07",KBL,정규시즌,한국가스공사,LG,대구체육관,2063.00000,"20250715","20250715"
53,"20250307","2025","03","07",KBL,정규시즌,소노,SK,고양 소노 아레나,1730.00000,"20250715","20250715"
54,"20250308","2025","03","08",KBL,정규시즌,DB,삼성,원주종합체육관,2730.00000,"20250715","20250715"
55,"20250308","2025","03","08",KBL,정규시즌,정관장,현대모비스,안양 정관장 아레나,3365.00000,"20250715","20250715"
56,"20250309","2025","03","09",KBL,정규시즌,SK,한국가스공사,잠실학생체육관,5202.00000,"20250715","20250715"
57,"20250309","2025","03","09",KBL,정규시즌,LG,소노,창원체육관,3983.00000,"20250715","20250715"
58,"20250310","2025","03","10",KBL,정규시즌,정관장,DB,안양 정관장 아레나,1611.00000,"20250715","20250715"
59,"20250311","2025","03","11",KBL,정규시즌,현대모비스,삼성,울산동천체육관,1133.00000,"20250715","20250715"
60,"20250312","2025","03","12",KBL,정규시즌,한국가스공사,정관장,대구체육관,1404.00000,"20250715","20250715"
61,"20250313","2025","03","13",KBL,정규시즌,KCC,삼성,부산사직체육관,1595.00000,"20250715","20250715"
62,"20250313","2025","03","13",KBL,정규시즌,KT,소노,수원 KT 아레나,1078.00000,"20250715","20250715"
63,"20250314","2025","03","14",KBL,정규시즌,LG,현대모비스,창원체육관,2743.00000,"20250715","20250715"
64,"20250314","2025","03","14",KBL,정규시즌,SK,DB,잠실학생체육관,4264.00000,"20250715","20250715"
65,"20250315","2025","03","15",KBL,정규시즌,한국가스공사,KCC,대구체육관,3076.00000,"20250715","20250715"
66,"20250315","2025","03","15",KBL,정규시즌,삼성,KT,잠실실내체육관,2024.00000,"20250715","20250715"
67,"20250315","2025","03","15",KBL,정규시즌,소노,정관장,고양 소노 아레나,3207.00000,"20250715","20250715"
68,"20250316","2025","03","16",KBL,정규시즌,KT,LG,수원 KT 아레나,3018.00000,"20250715","20250715"
69,"20250316","2025","03","16",KBL,정규시즌,현대모비스,KCC,울산동천체육관,2846.00000,"20250715","20250715"
70,"20250316","2025","03","16",KBL,정규시즌,DB,SK,원주종합체육관,3060.00000,"20250715","20250715"
71,"20250317","2025","03","17",KBL,정규시즌,한국가스공사,정관장,대구체육관,1203.00000,"20250715","20250715"
72,"20250318","2025","03","18",KBL,D리그 1차,삼성,SK,이천 LG 챔피언스파크,0.00000,"20250715","20250715"
73,"20250318","2025","03","18",KBL,D리그 1차,LG,KT,이천 LG 챔피언스파크,0.00000,"20250715","20250715"
74,"20250318","2025","03","18",KBL,정규시즌,현대모비스,KCC,울산동천체육관,1144.00000,"20250715","20250715"
