"MATCH_SEQ_NO","MATCH_DE","BASE_YEAR","BASE_MT","BASE_DAY","GRP_NM","LEA_NM","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO","COLCT_DE","UPDT_DE"
1,"20230408","2023","04","08",KLEAGUE,K리그1,서울,대구,서울 월드컵,45007.00000,"20250715","20250715"
2,"20230505","2023","05","05",KLEAGUE,K리그1,서울,전북,서울 월드컵,37008.00000,"20250715","20250715"
3,"20231125","2023","11","25",KLEAGUE,K리그1,서울,수원,서울 월드컵,36007.00000,"20250715","20250715"
4,"20231008","2023","10","08",KLEAGUE,K리그1,서울,전북,서울 월드컵,33103.00000,"20250715","20250715"
5,"20230819","2023","08","19",KLEAGUE,K리그1,울산,전북,울산 문수,30756.00000,"20250715","20250715"
6,"20230422","2023","04","22",KLEAGUE,K리그1,서울,수원,서울 월드컵,30186.00000,"20250715","20250715"
7,"20231203","2023","12","03",KLEAGUE,K리그1,울산,전북,울산 문수,28638.00000,"20250715","20250715"
8,"20230225","2023","02","25",KLEAGUE,K리그1,울산,전북,울산 문수,28039.00000,"20250715","20250715"
9,"20230603","2023","06","03",KLEAGUE,K리그1,전북,울산,전주 월드컵,27797.00000,"20250715","20250715"
10,"20230827","2023","08","27",KLEAGUE,K리그1,서울,울산,서울 월드컵,27051.00000,"20250715","20250715"
11,"20230514","2023","05","14",KLEAGUE,K리그1,울산,서울,울산 문수,26004.00000,"20250715","20250715"
12,"20231202","2023","12","02",KLEAGUE,K리그1,수원,강원,수원 월드컵,24932.00000,"20250715","20250715"
13,"20230902","2023","09","02",KLEAGUE,K리그1,수원,서울,수원 월드컵,22882.00000,"20250715","20250715"
14,"20230701","2023","07","01",KLEAGUE,K리그1,서울,대전,서울 월드컵,22637.00000,"20250715","20250715"
15,"20230225","2023","02","25",KLEAGUE,K리그1,서울,인천,서울 월드컵,22204.00000,"20250715","20250715"
16,"20230708","2023","07","08",KLEAGUE,K리그1,전북,서울,전주 월드컵,21139.00000,"20250715","20250715"
17,"20230712","2023","07","12",KLEAGUE,K리그1,대전,전북,대전 월드컵,20592.00000,"20250715","20250715"
18,"20230312","2023","03","12",KLEAGUE,K리그1,서울,울산,서울 월드컵,20549.00000,"20250715","20250715"
19,"20230520","2023","05","20",KLEAGUE,K리그1,서울,제주,서울 월드컵,20338.00000,"20250715","20250715"
20,"20230610","2023","06","10",KLEAGUE,K리그1,울산,제주,울산 문수,20190.00000,"20250715","20250715"
21,"20230917","2023","09","17",KLEAGUE,K리그1,서울,광주,서울 월드컵,20165.00000,"20250715","20250715"
22,"20230624","2023","06","24",KLEAGUE,K리그1,울산,대구,울산 문수,20070.00000,"20250715","20250715"
23,"20230305","2023","03","05",KLEAGUE,K리그1,전북,수원,전주 월드컵,19660.00000,"20250715","20250715"
24,"20230624","2023","06","24",KLEAGUE,K리그1,수원,서울,수원 월드컵,19513.00000,"20250715","20250715"
25,"20231029","2023","10","29",KLEAGUE,K리그1,울산,대구,울산 문수,18933.00000,"20250715","20250715"
26,"20230226","2023","02","26",KLEAGUE,K리그1,대전,강원,대전 월드컵,18590.00000,"20250715","20250715"
27,"20230903","2023","09","03",KLEAGUE,K리그1,울산,광주,울산 문수,18358.00000,"20250715","20250715"
28,"20230722","2023","07","22",KLEAGUE,K리그1,서울,인천,서울 월드컵,18150.00000,"20250715","20250715"
29,"20230611","2023","06","11",KLEAGUE,K리그1,서울,포항,서울 월드컵,18108.00000,"20250715","20250715"
30,"20230819","2023","08","19",KLEAGUE,K리그1,서울,대구,서울 월드컵,17800.00000,"20250715","20250715"
31,"20231008","2023","10","08",KLEAGUE,K리그1,울산,인천,울산 문수,17584.00000,"20250715","20250715"
32,"20230805","2023","08","05",KLEAGUE,K리그1,수원,수원FC,수원 월드컵,17481.00000,"20250715","20250715"
33,"20230528","2023","05","28",KLEAGUE,K리그1,울산,대전,울산 문수,17251.00000,"20250715","20250715"
34,"20230916","2023","09","16",KLEAGUE,K리그1,울산,대전,울산 문수,17237.00000,"20250715","20250715"
35,"20231112","2023","11","12",KLEAGUE,K리그1,울산,포항,울산 문수,16946.00000,"20250715","20250715"
36,"20250322","2025","03","22",KBO,정규리그,KT,한화,수원,18700.00000,"20250715","20250715"
37,"20230422","2023","04","22",KLEAGUE,K리그1,울산,포항,울산 문수,16761.00000,"20250715","20250715"
38,"20250322","2025","03","22",KBO,정규리그,LG,롯데,잠실,23750.00000,"20250715","20250715"
39,"20230416","2023","04","16",KLEAGUE,K리그1,대전,울산,대전 월드컵,16359.00000,"20250715","20250715"
40,"20250322","2025","03","22",KBO,정규리그,KIA,NC,광주,20500.00000,"20250715","20250715"
41,"20231008","2023","10","08",KLEAGUE,K리그1,대전,제주,대전 월드컵,15818.00000,"20250715","20250715"
42,"20250322","2025","03","22",KBO,정규리그,SSG,두산,문학,23000.00000,"20250715","20250715"
43,"20230401","2023","04","01",KLEAGUE,K리그1,대전,서울,대전 월드컵,15793.00000,"20250715","20250715"
44,"20250322","2025","03","22",KBO,정규리그,삼성,키움,대구,24000.00000,"20250715","20250715"
45,"20230514","2023","05","14",KLEAGUE,K리그1,인천,전북,인천 전용,15738.00000,"20250715","20250715"
46,"20250323","2025","03","23",KBO,정규리그,KT,한화,수원,18700.00000,"20250715","20250715"
47,"20250323","2025","03","23",KBO,정규리그,LG,롯데,잠실,23750.00000,"20250715","20250715"
48,"20230319","2023","03","19",KLEAGUE,K리그1,울산,수원FC,울산 문수,15230.00000,"20250715","20250715"
