BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
"2025"0322,"2025",03,22,41,경기,0.00000,56100.00000,2433.00000,0.00000,0.00000,58533.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0322,"2025",03,22,11,서울,0.00000,71250.00000,0.00000,0.00000,0.00000,71250.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0322,"2025",03,22,29,광주,4544.00000,61500.00000,0.00000,0.00000,0.00000,66044.00000,1,3,0,0,0,4,"20250715","20250715"
"2025"0322,"2025",03,22,28,인천,0.00000,69000.00000,0.00000,0.00000,0.00000,69000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0322,"2025",03,22,27,대구,0.00000,72000.00000,2207.00000,0.00000,0.00000,74207.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0323,"2025",03,23,41,경기,0.00000,56100.00000,2831.00000,0.00000,0.00000,58931.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0323,"2025",03,23,11,서울,0.00000,71250.00000,5001.00000,0.00000,0.00000,76251.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0323,"2025",03,23,29,광주,0.00000,61500.00000,0.00000,0.00000,0.00000,61500.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0323,"2025",03,23,28,인천,0.00000,69000.00000,0.00000,0.00000,0.00000,69000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0323,"2025",03,23,27,대구,0.00000,72000.00000,0.00000,0.00000,0.00000,72000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0325,"2025",03,25,11,서울,0.00000,71250.00000,0.00000,0.00000,0.00000,71250.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0325,"2025",03,25,28,인천,0.00000,41580.00000,0.00000,0.00000,0.00000,41580.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0325,"2025",03,25,27,대구,0.00000,63072.00000,0.00000,0.00000,0.00000,63072.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0325,"2025",03,25,41,경기,0.00000,24423.00000,1226.00000,0.00000,0.00000,25649.00000,0,3,3,0,0,6,"20250715","20250715"
"2025"0325,"2025",03,25,29,광주,0.00000,45159.00000,0.00000,0.00000,0.00000,45159.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0326,"2025",03,26,11,서울,0.00000,71250.00000,1274.00000,0.00000,0.00000,72524.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0326,"2025",03,26,28,인천,0.00000,44565.00000,0.00000,0.00000,0.00000,44565.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0326,"2025",03,26,27,대구,0.00000,72000.00000,0.00000,0.00000,0.00000,72000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0326,"2025",03,26,41,경기,0.00000,28821.00000,0.00000,0.00000,0.00000,28821.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0326,"2025",03,26,29,광주,0.00000,53340.00000,0.00000,0.00000,0.00000,53340.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0327,"2025",03,27,11,서울,0.00000,71250.00000,0.00000,0.00000,0.00000,71250.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0327,"2025",03,27,28,인천,0.00000,42465.00000,0.00000,0.00000,0.00000,42465.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0327,"2025",03,27,27,대구,0.00000,62343.00000,0.00000,0.00000,0.00000,62343.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0327,"2025",03,27,41,경기,0.00000,27072.00000,1380.00000,0.00000,0.00000,28452.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0327,"2025",03,27,29,광주,0.00000,36864.00000,0.00000,0.00000,0.00000,36864.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0328,"2025",03,28,30,대전,0.00000,51000.00000,0.00000,0.00000,0.00000,51000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0328,"2025",03,28,26,부산,0.00000,67995.00000,1368.00000,0.00000,0.00000,69363.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0328,"2025",03,28,99,기타,0.00000,46530.00000,0.00000,0.00000,0.00000,46530.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0328,"2025",03,28,11,서울,0.00000,104256.00000,3307.00000,0.00000,0.00000,107563.00000,0,6,1,0,0,7,"20250715","20250715"
"2025"0329,"2025",03,29,30,대전,11469.00000,51000.00000,0.00000,0.00000,0.00000,62469.00000,1,3,0,0,0,4,"20250715","20250715"
"2025"0329,"2025",03,29,26,부산,0.00000,67995.00000,0.00000,0.00000,0.00000,67995.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0329,"2025",03,29,99,기타,25258.00000,53829.00000,0.00000,0.00000,0.00000,79087.00000,1,3,0,0,0,4,"20250715","20250715"
"2025"0329,"2025",03,29,11,서울,0.00000,112605.00000,1787.00000,0.00000,0.00000,114392.00000,0,6,1,0,0,7,"20250715","20250715"
"2025"0330,"2025",03,30,30,대전,0.00000,51000.00000,0.00000,0.00000,0.00000,51000.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0330,"2025",03,30,26,부산,0.00000,67995.00000,3238.00000,0.00000,0.00000,71233.00000,0,3,1,0,0,4,"20250715","20250715"
"2025"0330,"2025",03,30,11,서울,3140.00000,110493.00000,2518.00000,0.00000,0.00000,116151.00000,1,6,1,0,0,8,"20250715","20250715"
"2025"0402,"2025",04,02,41,경기,0.00000,23487.00000,0.00000,0.00000,0.00000,23487.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0402,"2025",04,02,30,대전,0.00000,48756.00000,0.00000,0.00000,0.00000,48756.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0402,"2025",04,02,29,광주,0.00000,36516.00000,0.00000,0.00000,0.00000,36516.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0402,"2025",04,02,11,서울,0.00000,25008.00000,0.00000,0.00000,0.00000,25008.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,41,경기,0.00000,25881.00000,0.00000,0.00000,0.00000,25881.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,30,대전,0.00000,49677.00000,0.00000,0.00000,0.00000,49677.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,29,광주,0.00000,38478.00000,0.00000,0.00000,0.00000,38478.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0403,"2025",04,03,11,서울,0.00000,27393.00000,0.00000,0.00000,0.00000,27393.00000,0,3,0,0,0,3,"20250715","20250715"
"2025"0404,"2025",04,04,27,대구,0.00000,72000.00000,0.00000,0.00000,0.00000,72000.00000,0,3,0,0,0,3,"20250715","20250715"
