MATCH_DE,BASE_YEAR,BASE_MT,BASE_DAY,GRP_NM,LEA_NM,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO,COLCT_DE,UPDT_DE
20241019,2024,10,19,프로스포츠,KBL,원주 DB,,원주종합,4248.00000,20250715,20250715
20241024,2024,10,24,프로스포츠,KBL,원주 DB,,원주종합,2024.00000,20250715,20250715
20241027,2024,10,27,프로스포츠,KBL,원주 DB,,원주종합,3331.00000,20250715,20250715
20241104,2024,11,04,프로스포츠,KBL,원주 DB,,원주종합,1807.00000,20250715,20250715
20241110,2024,11,10,프로스포츠,KBL,원주 DB,,원주종합,2685.00000,20250715,20250715
20241112,2024,11,12,프로스포츠,KBL,원주 DB,,원주종합,2052.00000,20250715,20250715
20241128,2024,11,28,프로스포츠,KBL,원주 DB,,원주종합,2054.00000,20250715,20250715
20241204,2024,12,04,프로스포츠,KBL,원주 DB,,원주종합,2071.00000,20250715,20250715
20241216,2024,12,16,프로스포츠,KBL,원주 DB,,원주종합,2006.00000,20250715,20250715
20241219,2024,12,19,프로스포츠,KBL,원주 DB,,원주종합,4224.00000,20250715,20250715
20241221,2024,12,21,프로스포츠,KBL,원주 DB,,원주종합,3130.00000,20250715,20250715
20241222,2024,12,22,프로스포츠,KBL,원주 DB,,원주종합,3073.00000,20250715,20250715
20241227,2024,12,27,프로스포츠,KBL,원주 DB,,원주종합,2530.00000,20250715,20250715
20250112,2025,01,12,프로스포츠,KBL,원주 DB,,원주종합,3315.00000,20250715,20250715
20250114,2025,01,14,프로스포츠,KBL,원주 DB,,원주종합,2390.00000,20250715,20250715
20250124,2025,01,24,프로스포츠,KBL,원주 DB,,원주종합,2488.00000,20250715,20250715
20250129,2025,01,29,프로스포츠,KBL,원주 DB,,원주종합,3052.00000,20250715,20250715
20250201,2025,02,01,프로스포츠,KBL,원주 DB,,원주종합,3229.00000,20250715,20250715
20250213,2025,02,13,프로스포츠,KBL,원주 DB,,원주종합,2902.00000,20250715,20250715
20250227,2025,02,27,프로스포츠,KBL,원주 DB,,원주종합,2507.00000,20250715,20250715
20250301,2025,03,01,프로스포츠,KBL,원주 DB,,원주종합,3212.00000,20250715,20250715
20250303,2025,03,03,프로스포츠,KBL,원주 DB,,원주종합,2855.00000,20250715,20250715
20250308,2025,03,08,프로스포츠,KBL,원주 DB,,원주종합,2730.00000,20250715,20250715
20250316,2025,03,16,프로스포츠,KBL,원주 DB,,원주종합,3060.00000,20250715,20250715
20250327,2025,03,27,프로스포츠,KBL,원주 DB,,원주종합,2168.00000,20250715,20250715
20250406,2025,04,06,프로스포츠,KBL,원주 DB,,원주종합,2565.00000,20250715,20250715
20250408,2025,04,08,프로스포츠,KBL,원주 DB,,원주종합,3272.00000,20250715,20250715
20241027,2024,10,27,프로스포츠,KBL,서울 삼성,,잠실실내,3638.00000,20250715,20250715
20241029,2024,10,29,프로스포츠,KBL,서울 삼성,,잠실실내,2095.00000,20250715,20250715
20241031,2024,10,31,프로스포츠,KBL,서울 삼성,,잠실실내,1576.00000,20250715,20250715
20241102,2024,11,02,프로스포츠,KBL,서울 삼성,,잠실실내,2560.00000,20250715,20250715
20241107,2024,11,07,프로스포츠,KBL,서울 삼성,,잠실실내,1790.00000,20250715,20250715
20241128,2024,11,28,프로스포츠,KBL,서울 삼성,,잠실실내,1627.00000,20250715,20250715
20241130,2024,11,30,프로스포츠,KBL,서울 삼성,,잠실실내,2617.00000,20250715,20250715
20241202,2024,12,02,프로스포츠,KBL,서울 삼성,,잠실실내,1772.00000,20250715,20250715
20241207,2024,12,07,프로스포츠,KBL,서울 삼성,,잠실실내,3649.00000,20250715,20250715
20250102,2025,01,02,프로스포츠,KBL,서울 삼성,,잠실실내,1448.00000,20250715,20250715
20250104,2025,01,04,프로스포츠,KBL,서울 삼성,,잠실실내,2650.00000,20250715,20250715
20250106,2025,01,06,프로스포츠,KBL,서울 삼성,,잠실실내,1708.00000,20250715,20250715
20250109,2025,01,09,프로스포츠,KBL,서울 삼성,,잠실실내,1385.00000,20250715,20250715
20250126,2025,01,26,프로스포츠,KBL,서울 삼성,,잠실실내,3484.00000,20250715,20250715
20250129,2025,01,29,프로스포츠,KBL,서울 삼성,,잠실실내,4497.00000,20250715,20250715
20250205,2025,02,05,프로스포츠,KBL,서울 삼성,,잠실실내,1504.00000,20250715,20250715
20250207,2025,02,07,프로스포츠,KBL,서울 삼성,,잠실실내,1498.00000,20250715,20250715
20250209,2025,02,09,프로스포츠,KBL,서울 삼성,,잠실실내,2836.00000,20250715,20250715
20250301,2025,03,01,프로스포츠,KBL,서울 삼성,,잠실실내,2622.00000,20250715,20250715
20250303,2025,03,03,프로스포츠,KBL,서울 삼성,,잠실실내,2648.00000,20250715,20250715
20250305,2025,03,05,프로스포츠,KBL,서울 삼성,,잠실실내,1697.00000,20250715,20250715
20250315,2025,03,15,프로스포츠,KBL,서울 삼성,,잠실실내,2024.00000,20250715,20250715
20250324,2025,03,24,프로스포츠,KBL,서울 삼성,,잠실실내,957.00000,20250715,20250715
20250326,2025,03,26,프로스포츠,KBL,서울 삼성,,잠실실내,1274.00000,20250715,20250715
20250329,2025,03,29,프로스포츠,KBL,서울 삼성,,잠실실내,1787.00000,20250715,20250715
20250330,2025,03,30,프로스포츠,KBL,서울 삼성,,잠실실내,2518.00000,20250715,20250715
20250401,2025,04,01,프로스포츠,KBL,서울 삼성,,잠실실내,2025.00000,20250715,20250715
20241026,2024,10,26,프로스포츠,KBL,고양 소노,,고양 소노 아레나,5125.00000,20250715,20250715
20241028,2024,10,28,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1617.00000,20250715,20250715
20241031,2024,10,31,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2133.00000,20250715,20250715
20241113,2024,11,13,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2121.00000,20250715,20250715
20241130,2024,11,30,프로스포츠,KBL,고양 소노,,고양 소노 아레나,3056.00000,20250715,20250715
20241201,2024,12,01,프로스포츠,KBL,고양 소노,,고양 소노 아레나,3509.00000,20250715,20250715
20241206,2024,12,06,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1674.00000,20250715,20250715
20241208,2024,12,08,프로스포츠,KBL,고양 소노,,고양 소노 아레나,4007.00000,20250715,20250715
20241213,2024,12,13,프로스포츠,KBL,고양 소노,,고양 소노 아레나,2005.00000,20250715,20250715
20241218,2024,12,18,프로스포츠,KBL,고양 소노,,고양 소노 아레나,1751.00000,20250715,20250715
