날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-04-04,19:00,플레이오프,잠실학생체육관,SK,63,KCC,81,""
2025-04-05,19:00,플레이오프,수원 KT 아레나,KT,93,현대모비스,90,""
2025-04-06,14:00,플레이오프,잠실학생체육관,SK,72,KCC,99,""
2025-04-07,18:00,플레이오프,수원 KT 아레나,KT,77,현대모비스,79,""
2025-04-08,19:00,플레이오프,부산사직체육관,KCC,97,SK,77,""
2025-04-09,19:00,플레이오프,울산동천체육관,현대모비스,62,KT,79,""
2025-04-11,19:01,플레이오프,울산동천체육관,현대모비스,80,KT,93,""
2025-04-15,19:00,플레이오프,원주종합체육관,DB,83,KCC,95,""
2025-04-16,19:00,플레이오프,창원체육관,LG,78,KT,70,""
2025-04-17,19:00,플레이오프,원주종합체육관,DB,80,KCC,71,""
2025-04-18,19:00,플레이오프,창원체육관,LG,63,KT,83,""
2025-04-19,19:00,플레이오프,부산사직체육관,KCC,102,DB,90,""
2025-04-20,14:00,플레이오프,수원 KT 아레나,KT,73,LG,76,""
2025-04-21,18:00,플레이오프,부산사직체육관,KCC,80,DB,63,""
2025-04-22,19:00,플레이오프,수원 KT 아레나,KT,89,LG,80,""
2025-04-24,19:00,플레이오프,창원체육관,LG,65,KT,75,""
2025-04-27,14:00,챔피언결정전,수원 KT 아레나,KT,73,KCC,90,""
2025-04-29,19:00,챔피언결정전,수원 KT 아레나,KT,101,KCC,97,""
