일자,시간,홈팀,홈점수,원정점수,원정팀,구장,중계,비고
06.02(화),18:30,한화,7,8,넥센,목동,SPO-T,-
06.02(화),18:30,LG,18,5,NC,마산,KN-T,-
06.02(화),18:30,KIA,9,1,두산,잠실,,-
06.02(화),18:30,SK,20,6,KT,수원,MS-T,-
06.02(화),18:30,롯데,7,13,삼성,포항,SS-T; IB-T,-
06.03(수),18:30,한화,6,2,넥센,목동,SPO-T,-
06.03(수),18:30,LG,8,4,NC,마산,KN-T,-
06.03(수),18:30,KIA,1,8,두산,잠실,,-
06.03(수),18:30,SK,2,4,KT,수원,MS-T,-
06.03(수),18:30,롯데,1,8,삼성,포항,SS-T; IB-T,-
06.04(목),18:30,한화,2,15,넥센,목동,SPO-T,-
06.04(목),18:30,LG,4,1,NC,마산,KN-T,-
06.04(목),18:30,KIA,6,0,두산,잠실,,-
06.04(목),18:30,SK,3,7,KT,수원,MS-T,-
06.04(목),18:30,롯데,2,6,삼성,포항,SS-T; IB-T,-
06.05(금),18:30,두산,6,14,넥센,목동,MS-T,-
06.05(금),18:30,삼성,6,1,NC,마산,,-
06.05(금),18:30,SK,2,3,LG,잠실,KN-T,-
06.05(금),18:30,KIA,,,롯데,사직,SS-T; IB-T,우천취소
06.05(금),18:30,KT,5,6,한화,대전,SPO-T,-
06.06(토),17:00,두산,8,9,넥센,목동,MS-T,-
06.06(토),17:00,삼성,4,5,NC,마산,,-
06.06(토),17:00,SK,8,5,LG,잠실,KN-T,-
06.06(토),17:00,KIA,2,1,롯데,사직,SS-T; IB-T,-
06.06(토),17:00,KT,4,6,한화,대전,SPO-T,-
06.07(일),17:00,두산,9,4,넥센,목동,MS-T,-
06.07(일),17:00,삼성,1,14,NC,마산,,-
06.07(일),17:00,SK,3,0,LG,잠실,KN-T,-
06.07(일),17:00,KIA,2,4,롯데,사직,SS-T; IB-T,-
06.07(일),17:00,KT,4,3,한화,대전,SPO-T,-
06.09(화),18:30,두산,5,2,LG,잠실,SPO-T,-
06.09(화),18:30,NC,10,2,SK,문학,KN-T,-
06.09(화),18:30,KT,7,2,롯데,사직,,-
06.09(화),18:30,한화,6,2,삼성,대구,MS-T,-
06.09(화),18:30,넥센,4,7,KIA,광주,SS-T; IB-T,-
06.10(수),18:30,두산,1,5,LG,잠실,SPO-T,-
06.10(수),18:30,NC,7,2,SK,문학,KN-T,-
06.10(수),18:30,KT,10,7,롯데,사직,,-
