일자,시간,홈팀,홈점수,VS,원정점수,원정팀,구장,중계,비고
07.01(화),18:30,삼성,4,vs,1,두산,잠실,SPO-2T,-
07.01(화),18:30,LG,3,vs,2,롯데,사직,SPO-T,-
07.01(화),18:30,키움,7,vs,3,KT,수원,SS-T,-
07.01(화),18:30,SSG,2,vs,3,KIA,광주,KN-T,-
07.01(화),18:30,NC,4,vs,8,한화,대전(신),MS-T,-
07.02(수),18:30,삼성,0,vs,5,두산,잠실,SPO-2T,-
07.02(수),18:30,LG,2,vs,5,롯데,사직,SPO-T,-
07.02(수),18:30,키움,2,vs,4,KT,수원,SS-T,-
07.02(수),18:30,SSG,8,vs,5,KIA,광주,KN-T,-
07.02(수),18:30,NC,2,vs,0,한화,대전(신),MS-T,-
07.03(목),18:30,삼성,6,vs,4,두산,잠실,SPO-2T,-
07.03(목),18:30,LG,0,vs,2,롯데,사직,SPO-T,-
07.03(목),18:30,키움,2,vs,6,KT,수원,SS-T,-
07.03(목),18:30,SSG,2,vs,3,KIA,광주,KN-T,-
07.03(목),18:30,NC,7,vs,7,한화,대전(신),MS-T,-
07.04(금),18:30,KT,6,vs,3,두산,잠실,MS-T,-
07.04(금),18:30,LG,1,vs,4,삼성,대구,SPO-2T,-
07.04(금),18:30,SSG,4,vs,0,NC,창원,SPO-T,-
07.04(금),18:30,롯데,5,vs,7,KIA,광주,SS-T,-
07.04(금),18:30,한화,2,vs,1,키움,고척,KN-T,-
07.05(토),18:00,KT,2,vs,6,두산,잠실,MS-T,-
07.05(토),18:00,LG,6,vs,7,삼성,대구,SPO-2T,-
07.05(토),18:00,SSG,6,vs,1,NC,창원,SPO-T,-
07.05(토),18:00,롯데,0,vs,13,KIA,광주,SS-T,-
07.05(토),18:00,한화,6,vs,4,키움,고척,KN-T,-
07.06(일),14:00,한화,10,vs,1,키움,고척,S-T,-
07.06(일),18:00,KT,7,vs,8,두산,잠실,SPO-2T,-
07.06(일),18:00,LG,4,vs,2,삼성,대구,SS-T,-
07.06(일),18:00,SSG,2,vs,3,NC,창원,SPO-T; MS-T,-
07.06(일),18:00,롯데,5,vs,2,KIA,광주,KN-T,-
07.08(화),18:30,키움,3,vs,4,LG,잠실,SPO-2T,-
07.08(화),18:30,KT,1,vs,7,SSG,문학,SPO-T,-
07.08(화),18:30,두산,8,vs,5,롯데,사직,KN-T,-
07.08(화),18:30,삼성,9,vs,10,NC,창원,SS-T,-
07.08(화),18:30,KIA,8,vs,14,한화,대전(신),MS-T,-
07.09(수),18:30,키움,6,vs,12,LG,잠실,SPO-2T,-
07.09(수),18:30,KT,10,vs,3,SSG,문학,SPO-T,-
07.09(수),18:30,두산,4,vs,5,롯데,사직,KN-T,-
07.09(수),18:30,삼성,0,vs,3,NC,창원,SS-T,-
