순위,시즌,대회,대회명,경기번호,일자,홈팀,상대,경기결과,경기장,관중수,원정팀,비고
1,2025,K리그1,하나은행 K리그1 2025,65,2025/05/03,서울,전북,0 : 1,서울 월드컵,"48,008","7,546",주말
2,2025,K리그1,하나은행 K리그1 2025,8,2025/02/22,서울,안양,2 : 1,서울 월드컵,"41,415","5,304",주말
3,2025,K리그1,하나은행 K리그1 2025,98,2025/05/31,전북,울산,3 : 1,전주 월드컵,"31,830","3,488",주말
4,2025,K리그1,하나은행 K리그1 2025,13,2025/03/01,울산,전북,1 : 0,울산 문수,"26,317","3,294",주말
5,2025,K리그1,하나은행 K리그1 2025,87,2025/05/24,서울,수원FC,1 : 1,서울 월드컵,"25,578",765,주말
6,2025,K리그1,하나은행 K리그1 2025,31,2025/03/29,서울,대구,3 : 2,서울 월드컵,"25,258","2,196",주말
7,2025,K리그1,하나은행 K리그1 2025,18,2025/03/03,서울,김천,0 : 0,서울 월드컵,"24,889",336,
8,2025,K리그1,하나은행 K리그1 2025,69,2025/05/06,전북,대전,1 : 1,전주 월드컵,"24,338","2,613",
9,2025,K리그1,하나은행 K리그1 2025,97,2025/05/31,서울,제주,1 : 3,서울 월드컵,"24,270",683,주말
10,2025,K리그1,하나은행 K리그1 2025,68,2025/05/05,울산,포항,1 : 1,울산 문수,"23,442","3,376",
11,2025,K리그1,하나은행 K리그1 2025,117,2025/06/21,전북,서울,1 : 1,전주 월드컵,"22,862","2,109",주말
12,2025,K리그1,하나은행 K리그1 2025,79,2025/05/17,전북,안양,2 : 0,전주 월드컵,"21,021",858,주말
13,2025,K리그1,하나은행 K리그1 2025,37,2025/04/05,울산,서울,0 : 0,울산 문수,"20,358","1,501",주말
14,2025,K리그1,하나은행 K리그1 2025,44,2025/04/12,서울,대전,2 : 2,서울 월드컵,"20,284","2,200",주말
15,2025,K리그1,하나은행 K리그1 2025,126,2025/06/29,서울,포항,4 : 1,서울 월드컵,"20,036","2,078",주말
16,2025,K리그1,하나은행 K리그1 2025,10,2025/02/23,대전,울산,0 : 2,대전 월드컵,"19,628","2,886",주말
17,2025,K리그1,하나은행 K리그1 2025,5,2025/02/16,전북,김천,2 : 1,전주 월드컵,"19,619",362,주말
18,2025,K리그1,하나은행 K리그1 2025,52,2025/04/19,서울,광주,1 : 2,서울 월드컵,"19,234","1,084",주말
19,2025,K리그1,하나은행 K리그1 2025,4,2025/02/16,울산,안양,0 : 1,울산 문수,"18,718","1,103",주말
20,2025,K리그1,하나은행 K리그1 2025,22,2025/03/09,울산,제주,2 : 0,울산 문수,"16,749",273,주말
21,2025,K리그1,하나은행 K리그1 2025,88,2025/05/24,울산,김천,3 : 2,울산 문수,"16,012",250,주말
22,2025,K리그1,하나은행 K리그1 2025,11,2025/02/23,전북,광주,2 : 2,전주 월드컵,"15,393",952,주말
23,2025,K리그1,하나은행 K리그1 2025,109,2025/06/17,서울,강원,1 : 1,서울 월드컵,"15,290",583,
24,2025,K리그1,하나은행 K리그1 2025,39,2025/04/05,대전,전북,0 : 2,대전 월드컵,"14,622","4,146",주말
25,2025,K리그1,하나은행 K리그1 2025,125,2025/07/12,울산,대구,2 : 2,울산 문수,"14,555","2,038",주말
26,2025,K리그1,하나은행 K리그1 2025,24,2025/03/09,전북,강원,0 : 1,전주 월드컵,"14,090",459,주말
27,2025,K리그1,하나은행 K리그1 2025,74,2025/05/10,대전,서울,0 : 0,대전 월드컵,"13,706","2,729",주말
28,2025,K리그1,하나은행 K리그1 2025,21,2025/03/08,안양,김천,1 : 3,안양 종합,"13,579",350,주말
29,2025,K리그1,하나은행 K리그1 2025,49,2025/04/19,울산,강원,1 : 2,울산 문수,"13,536",366,주말
30,2025,K리그1,하나은행 K리그1 2025,54,2025/04/20,전북,대구,3 : 1,전주 월드컵,"12,897",876,주말
31,2025,K리그1,하나은행 K리그1 2025,63,2025/05/03,대전,안양,2 : 1,대전 월드컵,"12,570","1,357",주말
32,2025,K리그1,하나은행 K리그1 2025,32,2025/03/29,포항,울산,1 : 0,포항 스틸야드,"12,565","1,132",주말
33,2025,K리그1,하나은행 K리그1 2025,6,2025/02/16,대구,강원,2 : 1,대구iM뱅크PARK,"12,240",622,주말
34,2025,K리그1,하나은행 K리그1 2025,48,2025/04/13,대구,울산,0 : 1,대구iM뱅크PARK,"12,218",622,주말
